z_angstrom,rho_Li_1_per_nm3,rho_PF6_1_per_nm3,rho_EC_1_per_nm3,rho_DMC_1_per_nm3,rho_Li_std_1_per_nm3,rho_PF6_std_1_per_nm3,rho_EC_std_1_per_nm3,rho_DMC_std_1_per_nm3,rho_charge_e_per_nm3,rho_charge_std_e_per_nm3,z_cathode_angstrom,z_anode_angstrom
17.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0
18.375,0.0,0.0036730945821854904,0.05509641873278236,0.02203856749311294,0.0,0.008213289173552945,0.04859047403240754,0.020118367585130064,-0.0036730945821854904,0.008213289173552945,16.0,74.0
19.125,0.0,0.10651974288337923,0.8558310376492193,0.4297520661157024,0.0,0.09034618090908239,0.16354554167781957,0.14142606654309242,-0.10651974288337923,0.09034618090908239,16.0,74.0
19.875,0.0,0.16528925619834708,1.1717171717171715,0.5105601469237832,0.0,0.12657528697970816,0.3367448561156708,0.19669069951133575,-0.16528925619834708,0.12657528697970816,16.0,74.0
20.625,0.0,0.11753902662993569,0.6942148760330578,0.3856749311294765,0.0,0.18301080871776837,0.27773793246844714,0.13743461475753685,-0.11753902662993569,0.18301080871776837,16.0,74.0
21.375,0.01101928374655647,0.11753902662993569,0.44077134986225885,0.3122130394857667,0.02463986752065883,0.09941133959760776,0.05354409453485121,0.0430708517890122,-0.10651974288337923,0.08151456757088023,16.0,74.0
22.125,0.10651974288337923,0.17630853994490353,0.40771349862258943,0.569329660238751,0.11425036558307282,0.07414739848736951,0.05259071097622167,0.10942493377238735,-0.06978879706152431,0.1690222275826415,16.0,74.0
22.875,0.17998163452708904,0.33792470156106513,0.4775022956841138,0.9219467401285582,0.1234728103873029,0.20227048524897503,0.05354409453485123,0.18106530826617057,-0.1579430670339761,0.2221387271141754,16.0,74.0
23.625,0.11386593204775021,0.3158861340679522,0.5179063360881542,1.3259871441689621,0.08750140862862511,0.11498604842974125,0.13706599197094793,0.16650911965683207,-0.202020202020202,0.1822721142449881,16.0,74.0
24.375,0.10651974288337923,0.36730945821854905,0.598714416896235,1.781450872359963,0.06797706344654451,0.14402559358455572,0.15777213292866504,0.3430953478837354,-0.2607897153351698,0.13706599197094793,16.0,74.0
25.125,0.194674012855831,0.3195592286501377,0.5032139577594122,1.8769513314967856,0.1635455416778195,0.202270485248975,0.2925822159195978,0.24857923696144907,-0.12488521579430668,0.12000961801803149,16.0,74.0
25.875,0.2314049586776859,0.29384756657483924,0.6685032139577592,1.9136822773186406,0.15233382077743043,0.11759640472787598,0.3107511824881564,0.14190224993264908,-0.06244260789715334,0.19462202816145383,16.0,74.0
26.625,0.29752066115702475,0.26813590449954083,0.7640036730945821,2.2001836547291087,0.09219394231780444,0.08375944353345363,0.36166461374435227,0.2987989634529545,0.029384756657483923,0.12563916530018046,16.0,74.0
27.375,0.4664830119375573,0.34159779614325064,1.0541781450872358,2.574839302112029,0.23612313608264704,0.08068276450500934,0.5458285287315674,0.2549429302866337,0.12488521579430668,0.2162919452038536,16.0,74.0
28.125,0.47015610651974277,0.4921946740128557,1.2819100091827362,2.5785123966942143,0.3279149916718551,0.14308577543274525,0.45199216092548045,0.4290608428685716,-0.02203856749311294,0.3389910113837133,16.0,74.0
28.875,0.4260789715335169,0.554637281910009,1.5831037649219464,2.7217630853994486,0.14367388220832283,0.18337904009354067,0.46012748954328925,0.21784578662565593,-0.12855831037649218,0.22229051307456751,16.0,74.0
29.625,0.48484848484848475,0.49954086317722673,1.6859504132231402,3.0927456382001832,0.15669957030451084,0.15979016884595923,0.5719009444004942,0.15723676615613594,-0.014692378328741961,0.2936753397944437,16.0,74.0
30.375,0.4187327823691459,0.4224058769513314,1.6822773186409548,3.4490358126721756,0.2374762883415186,0.11615344940930686,0.23754729336279196,0.5046997696916118,-0.0036730945821854904,0.2250800910905936,16.0,74.0
31.125,0.40771349862258943,0.4664830119375573,1.8916437098255277,3.5739210284664824,0.11859602784913083,0.13657294723657085,0.4357689813665627,0.7912727291823871,-0.058769513314967846,0.05570523742186628,16.0,74.0
31.875,0.4297520661157024,0.4224058769513314,1.9063360881542695,3.827364554637281,0.15936744279093945,0.2655065618879882,0.530600094090178,0.7416559193592877,0.007346189164370981,0.3514961522366188,16.0,74.0
32.625,0.4628099173553718,0.4738292011019283,2.2516069788797055,3.7869605142332405,0.238539144413086,0.08151456757088023,0.5741377001469391,0.6976946230646106,-0.01101928374655647,0.27072725453136187,16.0,74.0
33.375,0.5215794306703396,0.5656565656565655,2.464646464646464,3.952249770431588,0.13657294723657082,0.2413505454692306,0.3392396661603326,0.46031071237918264,-0.04407713498622588,0.318787792028518,16.0,74.0
34.125,0.4664830119375573,0.4224058769513314,2.593204775022956,3.838383838383838,0.1666103717912466,0.2315798018901467,0.4674003835452534,0.5247835468220219,0.04407713498622588,0.11513262089004574,16.0,74.0
34.875,0.39669421487603296,0.4628099173553718,2.6703397612488518,4.6685032139577585,0.16559506451937334,0.1613655290100187,0.22515500541820987,0.22432957185825483,-0.06611570247933883,0.1884587479502707,16.0,74.0
