z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
17.659819,6.0036368504e-01,6.7145938459e-01,2.1012728977e+00,4.3921343274e+00
17.827211,6.8725842893e-01,5.5296655201e-01,2.0301771981e+00,4.7397133030e+00
17.994602,6.7145938459e-01,6.6355986242e-01,2.1960671637e+00,4.8977037464e+00
18.161994,6.1616272939e-01,6.6355986242e-01,1.9985791094e+00,4.1709477066e+00
18.329386,6.7935890676e-01,5.8456464070e-01,1.8958853212e+00,4.7950099582e+00
18.496777,8.1365078368e-01,5.1346894116e-01,1.9906795872e+00,4.5027276378e+00
18.664169,8.9264600539e-01,6.1616272939e-01,2.2197657302e+00,4.8108090025e+00
18.831561,9.4004313842e-01,5.2926798550e-01,2.1723685972e+00,4.8819047021e+00
18.998952,7.8995221716e-01,5.5296655201e-01,1.9511819764e+00,5.1425889337e+00
19.166344,7.9785173933e-01,4.9766989681e-01,2.1249714642e+00,4.6923161699e+00
19.333736,7.5045460630e-01,6.5566034024e-01,2.1012728977e+00,4.8740051799e+00
19.501127,7.4255508413e-01,4.8977037464e-01,2.2118662081e+00,5.1978855889e+00
19.668519,8.8474648322e-01,6.0036368504e-01,1.9432824542e+00,5.0635937120e+00
19.835911,7.5835412848e-01,5.5296655201e-01,2.2039666859e+00,5.3953736432e+00
20.003302,6.3196177373e-01,4.1867467510e-01,2.1802681194e+00,5.1109908450e+00
20.170694,7.7415317282e-01,4.7397133030e-01,2.1091724198e+00,5.2136846333e+00
20.338085,6.0036368504e-01,4.5817228595e-01,2.0933733755e+00,5.4822683871e+00
20.505477,6.5566034024e-01,4.6607180813e-01,2.1802681194e+00,5.3163784215e+00
20.672869,5.2926798550e-01,5.2926798550e-01,2.4172537845e+00,5.4585698206e+00
20.840260,4.5027276378e-01,4.1077515292e-01,2.1960671637e+00,5.1504884559e+00
21.007652,4.3447371944e-01,5.1346894116e-01,2.0933733755e+00,4.9293018351e+00
21.175044,3.9497610858e-01,3.9497610858e-01,2.0617752868e+00,5.2531822441e+00
21.342435,4.2657419727e-01,3.6337801989e-01,2.1565695529e+00,5.4427707762e+00
21.509827,3.8707658641e-01,3.3177993121e-01,2.2276652524e+00,5.7745507075e+00
21.677219,3.3967945338e-01,4.0287563075e-01,2.1091724198e+00,5.1109908450e+00
21.844610,3.9497610858e-01,4.1077515292e-01,2.0775743311e+00,5.0714932342e+00
22.012002,2.4488518732e-01,4.1867467510e-01,1.8879857990e+00,4.7002156921e+00
22.179394,4.1077515292e-01,3.6337801989e-01,1.9827800651e+00,4.7476128251e+00
22.346785,2.3698566515e-01,3.3967945338e-01,2.1881676415e+00,4.8582061355e+00
22.514177,3.1598088686e-01,3.7917706424e-01,2.0459762424e+00,4.9608999238e+00
22.681569,3.2388040904e-01,4.3447371944e-01,2.2355647746e+00,4.4790290713e+00
22.848960,2.3698566515e-01,3.6337801989e-01,2.2118662081e+00,4.2104453175e+00
23.016352,3.0808136469e-01,3.3967945338e-01,2.0143781538e+00,4.5264262043e+00
23.183744,2.2908614298e-01,3.5547849772e-01,2.1012728977e+00,4.6370195147e+00
23.351135,3.5547849772e-01,3.7917706424e-01,2.4251533067e+00,4.8108090025e+00
23.518527,3.3177993121e-01,3.7127754207e-01,2.0143781538e+00,4.4711295491e+00
23.685918,4.4237324161e-01,3.4757897555e-01,2.1881676415e+00,4.5422252487e+00
23.853310,4.3447371944e-01,4.8187085247e-01,2.5752442279e+00,4.8661056577e+00
24.020702,3.8707658641e-01,5.1346894116e-01,2.3856556958e+00,4.4474309826e+00
24.188093,3.7127754207e-01,5.6086607418e-01,2.4409523510e+00,5.0240961011e+00
24.355485,4.5027276378e-01,3.7917706424e-01,2.6305408831e+00,5.2768808106e+00
24.522877,4.5027276378e-01,5.2926798550e-01,2.9307227257e+00,4.9687994459e+00
24.690268,4.1867467510e-01,5.8456464070e-01,2.3382585628e+00,4.9608999238e+00
24.857660,4.1867467510e-01,4.3447371944e-01,2.4804499619e+00,5.5059669536e+00
25.025052,4.8977037464e-01,6.0826320721e-01,2.7095361049e+00,5.2215841554e+00
25.192443,7.2675603979e-01,5.9246416287e-01,2.6384404053e+00,5.1030913229e+00
25.359835,5.7666511853e-01,4.6607180813e-01,2.5199475727e+00,5.1346894116e+00
25.527227,7.1095699545e-01,6.0036368504e-01,2.6068423166e+00,4.6133209482e+00
25.694618,7.1095699545e-01,4.8977037464e-01,2.2908614298e+00,4.6765171256e+00
25.862010,8.6104791671e-01,3.3177993121e-01,2.5199475727e+00,4.6133209482e+00
26.029402,7.2675603979e-01,4.7397133030e-01,2.4409523510e+00,4.8661056577e+00
26.196793,7.5835412848e-01,6.0826320721e-01,2.3303590406e+00,4.4079333718e+00
26.364185,6.5566034024e-01,2.5278470949e-01,2.2829619076e+00,4.6291199926e+00
26.531577,7.7415317282e-01,4.9766989681e-01,2.2592633411e+00,4.5027276378e+00
26.698968,6.9515795110e-01,3.5547849772e-01,2.2987609519e+00,4.2736414948e+00
26.866360,7.1095699545e-01,3.7917706424e-01,2.3224595185e+00,4.1946462731e+00
27.033751,6.8725842893e-01,4.4237324161e-01,2.2039666859e+00,4.1867467510e+00
27.201143,6.3986129590e-01,3.9497610858e-01,2.3145599963e+00,4.1946462731e+00
27.368535,7.5045460630e-01,3.5547849772e-01,2.1091724198e+00,3.6337801989e+00
27.535926,6.1616272939e-01,3.6337801989e-01,2.2513638189e+00,4.0524548740e+00
27.703318,5.9246416287e-01,4.7397133030e-01,2.2987609519e+00,3.9655601302e+00
27.870710,4.9766989681e-01,4.6607180813e-01,2.3382585628e+00,4.1393496179e+00
28.038101,4.6607180813e-01,4.6607180813e-01,2.6858375384e+00,3.9260625193e+00
28.205493,4.3447371944e-01,6.6355986242e-01,2.4646509175e+00,4.2341438840e+00
28.372885,4.5027276378e-01,6.3196177373e-01,2.2908614298e+00,4.6133209482e+00
28.540276,3.6337801989e-01,6.0826320721e-01,2.5515456614e+00,5.2452827220e+00
28.707668,2.7648327601e-01,7.0305747327e-01,2.0222776759e+00,5.4427707762e+00
28.875060,2.6068423166e-01,7.3465556196e-01,1.9827800651e+00,4.9293018351e+00
29.042451,2.0538757646e-01,6.9515795110e-01,2.1012728977e+00,4.9135027907e+00
29.209843,2.2908614298e-01,5.2136846333e-01,1.9511819764e+00,5.4743688649e+00
29.377235,2.4488518732e-01,6.7935890676e-01,2.0775743311e+00,5.5533640866e+00
29.544626,2.6068423166e-01,6.1616272939e-01,2.1723685972e+00,5.4190722097e+00
29.712018,2.9228232035e-01,6.6355986242e-01,1.9353829320e+00,5.2057851111e+00
29.879410,2.6068423166e-01,8.2944982802e-01,1.6746987004e+00,4.9372013573e+00
30.046801,2.2908614298e-01,9.3214361625e-01,1.8326891438e+00,5.1504884559e+00
30.214193,1.4219139909e-01,1.0743350153e+00,1.8168900995e+00,5.4664693428e+00
30.381584,2.4488518732e-01,1.1612297592e+00,1.7536939221e+00,5.3874741210e+00
30.548976,1.8958853212e-01,9.0844504974e-01,1.6667991782e+00,5.8930435400e+00
30.716368,1.9748805429e-01,1.0506364488e+00,1.8089905773e+00,5.8614454513e+00
30.883759,2.6858375384e-01,7.4255508413e-01,1.9274834099e+00,6.0589335056e+00
31.051151,2.3698566515e-01,5.6086607418e-01,1.9353829320e+00,6.0747325500e+00
31.218543,4.0287563075e-01,3.4757897555e-01,2.1407705085e+00,5.6086607418e+00
31.385934,4.6607180813e-01,3.5547849772e-01,2.1723685972e+00,5.6955554857e+00
31.553326,6.0036368504e-01,2.9228232035e-01,1.9985791094e+00,5.4901679093e+00
31.720718,5.2926798550e-01,3.1598088686e-01,2.4962490062e+00,4.8582061355e+00
31.888109,5.2136846333e-01,2.6068423166e-01,2.4646509175e+00,4.2894405392e+00
32.055501,7.2675603979e-01,2.1328709863e-01,2.8043303709e+00,4.0840529627e+00
32.222893,7.5835412848e-01,3.8707658641e-01,2.4962490062e+00,4.0682539184e+00
32.390284,9.0054552756e-01,3.0808136469e-01,2.6147418388e+00,3.5863830659e+00
32.557676,1.1454307149e+00,4.6607180813e-01,2.4409523510e+00,3.7917706424e+00
32.725068,1.0980335819e+00,5.0556941898e-01,2.0222776759e+00,3.3888950116e+00
32.892459,1.2560240253e+00,3.3967945338e-01,1.5325073013e+00,2.8122298931e+00
33.059851,1.7852920108e+00,3.6337801989e-01,9.6374170494e-01,2.4962490062e+00
33.227243,2.3303590406e+00,2.5278470949e-01,7.9785173933e-01,1.7299953556e+00
33.394634,2.4646509175e+00,2.2118662081e-01,6.7145938459e-01,1.5246077791e+00
33.562026,3.1519093465e+00,8.6894743888e-02,4.8187085247e-01,1.5957034787e+00
33.729417,3.2941007456e+00,1.3429187692e-01,4.5817228595e-01,2.0775743311e+00
33.896809,3.2862012234e+00,1.0269378823e-01,5.1346894116e-01,2.6068423166e+00
34.064201,2.8122298931e+00,8.6894743888e-02,4.2657419727e-01,4.0129572632e+00
34.231592,2.1960671637e+00,7.8995221716e-03,3.1598088686e-01,6.0273354169e+00
34.398984,1.4377130352e+00,1.5799044343e-02,4.6607180813e-01,1.0127187424e+01
34.566376,7.9785173933e-01,7.8995221716e-03,4.8187085247e-01,1.4092747554e+01
34.733767,4.0287563075e-01,0.0000000000e+00,5.2136846333e-01,1.6091326664e+01
34.901159,2.3698566515e-01,0.0000000000e+00,6.2406225156e-01,1.6067628097e+01
35.068551,7.1095699545e-02,7.8995221716e-03,1.0743350153e+00,1.4116446121e+01
35.235942,3.1598088686e-02,0.0000000000e+00,1.3666173357e+00,1.0688053498e+01
35.403334,1.5799044343e-02,0.0000000000e+00,2.2908614298e+00,7.4018522748e+00
35.570726,7.8995221716e-03,0.0000000000e+00,4.2183448396e+00,5.4032731654e+00
35.738117,0.0000000000e+00,0.0000000000e+00,6.7777900232e+00,4.1235505736e+00
