Solvent,Residue,MW_g_mol,Exp_Density_g_cm3,N_molecules,Sim_Density_g_cm3,Sim_Density_Std
EC,ECA,88.06,1.32,387,1.348522,0.007737
DMC,DMC,90.08,1.07,307,1.014396,0.011823
DEC,DEC,118.13,0.975,213,0.929362,0.010849
PC,PCA,102.09,1.2,303,1.206194,0.010921
FEC,FEC,106.05,1.45,353,1.476090,0.010957
DME,DME,90.12,0.87,249,0.770195,0.009673
PS,PSA,120.17,1.39,299,1.381315,0.008681
SL,SLA,120.17,1.27,273,1.307011,0.006872
EMC,EMC,104.1,1.01,251,0.954286,0.010511
