# step Q_left_e Q_right_e Q_total_e
1000 -5.1480569094 5.0968569976 -0.0511999118
2000 -5.3314733816 5.2802731924 -0.0512001892
3000 -5.5244146644 5.4732150815 -0.0511995829
4000 -5.7224716380 5.6712718869 -0.0511997511
5000 -5.7065144432 5.6553144702 -0.0511999730
6000 -5.7936054605 5.7424054334 -0.0512000271
7000 -5.9148490847 5.8636488812 -0.0512002035
8000 -5.9769751428 5.9257751299 -0.0512000129
9000 -6.0940132246 6.0428137842 -0.0511994404
10000 -6.1385937167 6.0873934275 -0.0512002892
11000 -6.2179301380 6.1667299797 -0.0512001583
12000 -6.2591318700 6.2079322191 -0.0511996509
13000 -6.3593229222 6.3081228180 -0.0512001042
14000 -6.3784688116 6.3272688028 -0.0512000088
15000 -6.5849829467 6.5337831050 -0.0511998418
16000 -6.5810394363 6.5298390468 -0.0512003895
17000 -6.5706870789 6.5194869086 -0.0512001703
18000 -6.7234017770 6.6722016546 -0.0512001223
19000 -6.6636538850 6.6124539685 -0.0511999165
20000 -6.6803434704 6.6291432572 -0.0512002133
21000 -6.8525964851 6.8013967085 -0.0511997766
22000 -6.8445220053 6.7933218684 -0.0512001369
23000 -6.7402559203 6.6890561379 -0.0511997824
24000 -6.7425585159 6.6913585782 -0.0511999377
25000 -7.0104947116 6.9592948549 -0.0511998567
26000 -6.8505744052 6.7993749734 -0.0511994318
27000 -6.9706579035 6.9194581875 -0.0511997159
28000 -6.9434416704 6.8922413699 -0.0512003005
29000 -6.9385129453 6.8873125422 -0.0512004031
30000 -7.1561236416 7.1049235447 -0.0512000970
31000 -7.0131063636 6.9619062622 -0.0512001014
32000 -6.9861470209 6.9349470958 -0.0511999251
33000 -7.0136219093 6.9624218463 -0.0512000630
34000 -7.0606191328 7.0094193320 -0.0511998008
35000 -6.8913412935 6.8401410524 -0.0512002411
36000 -6.9728778333 6.9216784935 -0.0511993398
37000 -6.9097184229 6.8585179672 -0.0512004558
38000 -7.0919619943 7.0407620303 -0.0511999640
39000 -6.9365224089 6.8853223450 -0.0512000639
40000 -7.0374519390 6.9862519153 -0.0512000236
41000 -7.0050653277 6.9538648387 -0.0512004890
42000 -7.0822659016 7.0310655604 -0.0512003412
43000 -7.1380249916 7.0868252725 -0.0511997191
44000 -7.2421227966 7.1909229152 -0.0511998814
45000 -7.0960199018 7.0448205414 -0.0511993604
46000 -7.0657401725 7.0145398008 -0.0512003717
47000 -7.2636149093 7.2124149620 -0.0511999473
48000 -7.1844718787 7.1332720525 -0.0511998262
49000 -7.1263737511 7.0751741508 -0.0511996003
50000 -7.1433078614 7.0921079614 -0.0511999000
51000 -7.0799395167 7.0287397481 -0.0511997687
52000 -7.1969694730 7.1457692606 -0.0512002124
53000 -7.1095115880 7.0583113269 -0.0512002611
54000 -7.2138196225 7.1626188627 -0.0512007598
55000 -7.1622604608 7.1110612976 -0.0511991632
56000 -7.2052302652 7.1540302914 -0.0511999738
57000 -7.1740755215 7.1228756828 -0.0511998388
58000 -7.2515951486 7.2003950400 -0.0512001086
59000 -7.2898660309 7.2386656879 -0.0512003430
60000 -7.2742173653 7.2230172404 -0.0512001249
61000 -7.2686038462 7.2174036547 -0.0512001915
62000 -7.3711254348 7.3199254144 -0.0512000204
63000 -7.4186635060 7.3674633792 -0.0512001269
64000 -7.2764888243 7.2252892491 -0.0511995752
65000 -7.2497178505 7.1985178329 -0.0512000176
66000 -7.4227420243 7.3715419855 -0.0512000388
67000 -7.2577148585 7.2065142721 -0.0512005864
68000 -7.4709065780 7.4197062640 -0.0512003140
69000 -7.3590786029 7.3078783771 -0.0512002257
70000 -7.4733758939 7.4221756714 -0.0512002225
71000 -7.4937632610 7.4425630756 -0.0512001854
72000 -7.4367040980 7.3855038591 -0.0512002389
73000 -7.5043053092 7.4531049507 -0.0512003584
74000 -7.4058396944 7.3546391977 -0.0512004967
75000 -7.5773478399 7.5261475677 -0.0512002723
76000 -7.4620740016 7.4108736059 -0.0512003957
77000 -7.4709147685 7.4197147666 -0.0512000020
78000 -7.2757484114 7.2245479254 -0.0512004860
79000 -7.3467772130 7.2955771708 -0.0512000422
80000 -7.5283678991 7.4771680557 -0.0511998434
81000 -7.4156444008 7.3644435105 -0.0512008902
82000 -7.4492669811 7.3980669538 -0.0512000273
83000 -7.5299130571 7.4787128221 -0.0512002350
84000 -7.3564780264 7.3052781341 -0.0511998923
85000 -7.3976193760 7.3464195700 -0.0511998059
86000 -7.5028167383 7.4516166926 -0.0512000457
87000 -7.4431831234 7.3919831230 -0.0512000003
88000 -7.5178676578 7.4666676458 -0.0512000120
89000 -7.4273128132 7.3761121607 -0.0512006525
90000 -7.3415680048 7.2903681702 -0.0511998346
91000 -7.4580802531 7.4068797296 -0.0512005235
92000 -7.4162778342 7.3650774506 -0.0512003836
93000 -7.4678640172 7.4166638439 -0.0512001733
94000 -7.5430187504 7.4918185975 -0.0512001528
95000 -7.5828351413 7.5316353992 -0.0511997421
96000 -7.5727830762 7.5215836330 -0.0511994432
97000 -7.7268740735 7.6756738289 -0.0512002446
98000 -7.5739107914 7.5227106973 -0.0512000942
99000 -7.5867495281 7.5355493762 -0.0512001519
100000 -7.5014329890 7.4502325703 -0.0512004187
101000 -7.6729462876 7.6217465242 -0.0511997633
102000 -7.7266287603 7.6754282995 -0.0512004609
103000 -7.5286309841 7.4774308593 -0.0512001248
104000 -7.4825027601 7.4313027314 -0.0512000287
105000 -7.5791681597 7.5279677752 -0.0512003845
106000 -7.5940456199 7.5428456732 -0.0511999468
107000 -7.4708520962 7.4196516227 -0.0512004736
108000 -7.6154863050 7.5642862623 -0.0512000427
109000 -7.5880240069 7.5368237414 -0.0512002655
110000 -7.6699798864 7.6187797624 -0.0512001240
111000 -7.6265283118 7.5753282756 -0.0512000362
112000 -7.7085839235 7.6573836016 -0.0512003219
113000 -7.6401458979 7.5889459457 -0.0511999521
114000 -7.4766814830 7.4254814324 -0.0512000506
115000 -7.5829099028 7.5317098009 -0.0512001019
116000 -7.6875266554 7.6363270290 -0.0511996264
117000 -7.7083538396 7.6571537836 -0.0512000560
118000 -7.7178271157 7.6666267035 -0.0512004122
119000 -7.7881008585 7.7369010681 -0.0511997903
120000 -7.7126384596 7.6614386786 -0.0511997810
121000 -7.6841152206 7.6329157369 -0.0511994837
122000 -7.6050612368 7.5538612865 -0.0511999503
123000 -7.7356728681 7.6844725623 -0.0512003058
124000 -7.7131709440 7.6619709127 -0.0512000313
125000 -7.7230134625 7.6718136086 -0.0511998539
126000 -7.6574472911 7.6062470931 -0.0512001980
127000 -7.8093108730 7.7581106438 -0.0512002292
128000 -7.7482645295 7.6970644076 -0.0512001219
129000 -7.7639975566 7.7127979265 -0.0511996301
130000 -7.7264949258 7.6752948265 -0.0512000993
131000 -7.7568687128 7.7056686659 -0.0512000469
132000 -7.7397971048 7.6885965276 -0.0512005773
133000 -7.8547055842 7.8035050652 -0.0512005191
134000 -7.7968728922 7.7456730301 -0.0511998620
135000 -7.9272553241 7.8760553068 -0.0512000173
136000 -7.8117367201 7.7605367799 -0.0511999403
137000 -7.7591295848 7.7079296112 -0.0511999736
138000 -7.9344008756 7.8832014212 -0.0511994543
139000 -7.9527776095 7.9015777328 -0.0511998767
140000 -8.0538314958 8.0026317425 -0.0511997533
141000 -7.8876531958 7.8364534071 -0.0511997887
142000 -7.9982763687 7.9470761979 -0.0512001708
143000 -7.9724619281 7.9212621090 -0.0511998192
144000 -7.9161940713 7.8649941052 -0.0511999661
145000 -8.1252782550 8.0740779461 -0.0512003088
146000 -7.9896033069 7.9384028730 -0.0512004339
147000 -8.1274947571 8.0762949625 -0.0511997945
148000 -8.0401425546 7.9889425617 -0.0511999929
149000 -8.1044229025 8.0532223028 -0.0512005996
150000 -8.2054518322 8.1542518351 -0.0511999971
151000 -8.1894571555 8.1382572101 -0.0511999454
152000 -8.1796082151 8.1284083587 -0.0511998564
153000 -8.2212729689 8.1700728587 -0.0512001102
154000 -8.2860950101 8.2348948452 -0.0512001649
155000 -8.2490378954 8.1978379844 -0.0511999109
156000 -8.2763601122 8.2251599268 -0.0512001854
157000 -8.1666368891 8.1154367265 -0.0512001626
158000 -8.3752720009 8.3240717694 -0.0512002315
159000 -8.2220721364 8.1708720333 -0.0512001030
160000 -8.1757020922 8.1245014940 -0.0512005982
161000 -8.2112026364 8.1600026574 -0.0511999789
162000 -8.1955598625 8.1443597234 -0.0512001391
163000 -8.2758392987 8.2246389219 -0.0512003768
164000 -8.1751155867 8.1239152530 -0.0512003337
165000 -8.2730351582 8.2218351925 -0.0511999656
166000 -8.3204199038 8.2692196835 -0.0512002204
167000 -8.2945364059 8.2433365171 -0.0511998888
168000 -8.2809317054 8.2297319765 -0.0511997289
