#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-85927.81597371094,24984.01171875,-60943.80425496094,255.20284749493638,262.81693899075947,0.4952586070125691,0
2000,-83735.823447201,28885.33203125,-54850.49141595099,295.0534553135613,250.53374429281794,0.5195401979532952,807
3000,-84330.95239365721,29981.45703125,-54349.49536240721,306.2499846924061,242.92185347989783,0.5358198500434297,800
4000,-85155.66647391408,29426.517578125,-55729.14889578908,300.58147435791494,233.780726046043,0.5567710961691319,782
5000,-86437.2416162788,29733.3203125,-56703.9213037788,303.71535583031965,226.1981051593543,0.5754351965599924,790
6000,-86778.57124763413,29337.919921875,-57440.65132575913,299.6764806198833,222.75849889501018,0.5843204714950901,785
7000,-86972.54536038177,28962.197265625,-58010.34809475677,295.8386065097219,219.36240697552356,0.5933667162869634,787
8000,-87367.32240027768,29414.96484375,-57952.357556527684,300.46346726033426,216.5859870575487,0.6009730955922169,792
9000,-87482.70840371918,29334.8125,-58147.89590371918,299.6447394039491,212.53761863143103,0.6124202950141734,788
10000,-87712.88650246168,29265.359375,-58447.52712746168,298.9353002847655,209.51674366327623,0.6212503536856254,784
11000,-88350.9840488096,29566.69921875,-58784.284830059594,302.0133802606473,207.14736930679797,0.6283562834490668,783
12000,-88936.07173850658,28631.625,-60304.44673850658,292.46192767847396,206.08557131049253,0.6315937126319521,779
13000,-88580.75117329581,28947.51171875,-59633.23945454581,295.68859883994844,203.31583604869462,0.640197800788605,780
14000,-88848.21832535765,29385.513671875,-59462.70465348265,300.1626339510494,201.03864563308832,0.6474494030437691,780
15000,-89106.69543359391,29054.927734375,-60051.76769921891,296.7858154664316,198.91027954328285,0.6543771966071144,780
16000,-88958.85760567,28996.2421875,-59962.61541817,296.1863633512992,199.0302788363357,0.6539826596480051,776
17000,-89056.46275328068,29058.96875,-59997.49400328068,296.82709301248303,196.19108070647778,0.6634468327263423,777
18000,-89422.03150417557,28699.2109375,-60722.82056667557,293.152294137423,195.59350688278295,0.6654737837584545,778
19000,-90017.34095806582,29130.3359375,-60887.00502056582,297.55608360345514,193.8041461990479,0.671617989896804,776
20000,-90207.40717676637,29019.64453125,-61187.76264551637,296.42541001963593,191.97361883868197,0.6780220735081733,775
21000,-90164.232100516,29054.80078125,-61109.431319266005,296.78451868513946,191.0625159555451,0.6812552972669742,775
22000,-90208.32449482434,29131.5234375,-61076.80105732434,297.5682134961566,188.80712008042318,0.6893932339438665,775
23000,-90330.07244182925,29108.3125,-61221.75994182925,297.3311219749986,187.01400997267433,0.6960032091867856,778
24000,-90523.99415442377,29347.171875,-61176.822279423766,299.77098605035496,186.5633659821674,0.6976844056100081,777
25000,-90283.44446887702,28894.0,-61389.444468877016,295.14199555008935,184.38378022763916,0.7059316765453727,778
26000,-90471.5862471197,29269.61328125,-61201.9729658697,298.97875243329145,184.48026821674512,0.7055624558770895,779
27000,-90942.5997179983,29247.01953125,-61695.580186748295,298.7479652642612,182.91872523127563,0.7115857107537703,779
28000,-91043.35678040129,29581.173828125,-61462.182952276286,302.16123327842763,182.35580130945186,0.7137823429208572,780
29000,-91049.8497626755,28818.06640625,-62231.7833564255,294.36636073356465,181.9192113868713,0.7154953570410233,781
30000,-90794.53110583744,28724.50390625,-62070.027199587435,293.4106528717714,181.96789481340372,0.7153039344514258,781
31000,-91550.6408080287,29313.357421875,-62237.28338615369,299.4255833655849,182.59134624077947,0.712861555510021,782
32000,-91346.55859237353,29375.591796875,-61970.966795498534,300.06128550545174,181.42875686687577,0.7174295483894988,782
33000,-91116.94008230578,29342.37890625,-61774.56117605578,299.72202756895797,182.1933244754627,0.7144188815842196,783
