# step Q_left_e Q_right_e Q_total_e
107000 -5.0243548879 4.9731547955 -0.0512000924
108000 -5.0838232011 5.0326232074 -0.0511999937
109000 -5.0055958787 4.9543955486 -0.0512003301
110000 -5.0132458547 4.9620458951 -0.0511999597
111000 -4.9645670476 4.9133671934 -0.0511998542
112000 -4.9142405450 4.8630409031 -0.0511996419
113000 -4.9423791719 4.8911787599 -0.0512004120
114000 -4.8440532255 4.7928531120 -0.0512001135
115000 -5.0424405733 4.9912405631 -0.0512000102
116000 -5.1311845516 5.0799849223 -0.0511996293
117000 -5.1190391581 5.0678390140 -0.0512001441
118000 -4.9154490111 4.8642486049 -0.0512004062
119000 -5.0588377495 5.0076376869 -0.0512000626
120000 -5.1611486112 5.1099479224 -0.0512006888
121000 -5.1069375828 5.0557378848 -0.0511996980
122000 -5.1253880269 5.0741878969 -0.0512001301
123000 -5.0683042817 5.0171044778 -0.0511998038
124000 -5.0368633878 4.9856630992 -0.0512002886
125000 -5.0133888300 4.9621885764 -0.0512002536
126000 -5.0356954307 4.9844954656 -0.0511999651
127000 -5.1129392854 5.0617389494 -0.0512003360
128000 -5.1252075947 5.0740071257 -0.0512004690
129000 -5.2729380680 5.2217373573 -0.0512007107
130000 -5.1176416556 5.0664418858 -0.0511997698
131000 -5.2573236260 5.2061236497 -0.0511999763
132000 -5.2206560936 5.1694560419 -0.0512000517
133000 -5.1272864275 5.0760862430 -0.0512001845
134000 -5.1795523829 5.1283523755 -0.0512000074
135000 -5.2699546106 5.2187546011 -0.0512000095
136000 -5.2898768314 5.2386770450 -0.0511997864
137000 -5.2532484082 5.2020481392 -0.0512002690
138000 -5.1641629393 5.1129627203 -0.0512002190
139000 -5.0235070382 4.9723068775 -0.0512001608
140000 -5.1374900149 5.0862900888 -0.0511999261
141000 -5.0321241085 4.9809242620 -0.0511998466
142000 -5.0600915661 5.0088924094 -0.0511991567
143000 -5.0257158459 4.9745163473 -0.0511994986
144000 -5.0450653138 4.9938647603 -0.0512005535
145000 -5.1240400667 5.0728407291 -0.0511993377
146000 -5.0379125193 4.9867123996 -0.0512001197
147000 -5.0993665291 5.0481660403 -0.0512004888
148000 -5.1888218846 5.1376217810 -0.0512001036
149000 -5.2159355102 5.1647347953 -0.0512007149
150000 -5.1780113557 5.1268111307 -0.0512002250
151000 -5.2342612441 5.1830610476 -0.0512001965
152000 -5.1707799072 5.1195796877 -0.0512002195
153000 -5.1182126906 5.0670126770 -0.0512000136
154000 -5.3066412073 5.2554407418 -0.0512004655
155000 -5.2426202777 5.1914203009 -0.0511999768
156000 -5.1276038736 5.0764037967 -0.0512000769
157000 -5.1570582599 5.1058582943 -0.0511999656
158000 -5.1236451250 5.0724448849 -0.0512002401
159000 -5.0407868921 4.9895864305 -0.0512004616
160000 -5.1044624911 5.0532624532 -0.0512000379
161000 -5.2088752093 5.1576753709 -0.0511998384
162000 -5.1113350326 5.0601351400 -0.0511998927
163000 -5.1039172912 5.0527170713 -0.0512002199
164000 -5.2146733394 5.1634735707 -0.0511997687
165000 -5.2758478752 5.2246479718 -0.0511999034
166000 -5.1492018953 5.0980017736 -0.0512001218
167000 -5.2694383223 5.2182384494 -0.0511998729
168000 -5.2196337120 5.1684335528 -0.0512001591
169000 -5.2803803624 5.2291805189 -0.0511998435
170000 -5.3315431635 5.2803429387 -0.0512002247
171000 -5.2483511302 5.1971511480 -0.0511999822
172000 -5.2917286452 5.2405281749 -0.0512004703
173000 -5.2592478715 5.2080483978 -0.0511994737
174000 -5.3576169981 5.3064173303 -0.0511996679
175000 -5.3227446553 5.2715443008 -0.0512003545
176000 -5.3918266768 5.3406265752 -0.0512001016
177000 -5.2563147375 5.2051145093 -0.0512002281
178000 -5.3657472279 5.3145477051 -0.0511995228
179000 -5.3323699380 5.2811701121 -0.0511998259
180000 -5.1269362951 5.0757361335 -0.0512001616
181000 -5.1994276755 5.1482275638 -0.0512001116
182000 -5.2766489180 5.2254490204 -0.0511998976
183000 -5.2672930774 5.2160929856 -0.0512000918
184000 -5.2946562861 5.2434564506 -0.0511998356
185000 -5.1792494138 5.1280496079 -0.0511998059
186000 -5.2676860769 5.2164855972 -0.0512004797
187000 -5.3908971465 5.3396972006 -0.0511999460
188000 -5.3365522966 5.2853530552 -0.0511992415
189000 -5.3038939838 5.2526942688 -0.0511997150
190000 -5.3979978729 5.3467975252 -0.0512003477
191000 -5.2534566905 5.2022566645 -0.0512000260
192000 -5.3885842682 5.3373840086 -0.0512002597
193000 -5.3094732271 5.2582731782 -0.0512000488
194000 -5.4018532359 5.3506531324 -0.0512001035
195000 -5.4203971070 5.3691972167 -0.0511998903
196000 -5.4032714116 5.3520713269 -0.0512000847
197000 -5.3274595719 5.2762593732 -0.0512001987
198000 -5.5155691959 5.4643690810 -0.0512001149
199000 -5.3506352272 5.2994351017 -0.0512001255
200000 -5.2207887897 5.1695888033 -0.0511999863
201000 -5.4030535099 5.3518533866 -0.0512001233
202000 -5.4964969100 5.4452961659 -0.0512007441
203000 -5.5472431710 5.4960436986 -0.0511994724
204000 -5.4645025617 5.4133025795 -0.0511999822
205000 -5.4032366688 5.3520365446 -0.0512001242
206000 -5.4017535307 5.3505533359 -0.0512001949
207000 -5.3524774830 5.3012775051 -0.0511999779
208000 -5.3812473736 5.3300471725 -0.0512002012
209000 -5.4570136209 5.4058138325 -0.0511997883
210000 -5.5068361441 5.4556361712 -0.0511999730
211000 -5.5355756624 5.4843759104 -0.0511997521
212000 -5.5127336295 5.4615331054 -0.0512005241
213000 -5.5022133662 5.4510133085 -0.0512000577
214000 -5.6032559791 5.5520560624 -0.0511999167
215000 -5.5286146635 5.4774146311 -0.0512000325
216000 -5.6214667966 5.5702666708 -0.0512001258
217000 -5.7984991563 5.7472995244 -0.0511996319
218000 -5.6160409674 5.5648411255 -0.0511998419
219000 -5.4674412305 5.4162415564 -0.0511996741
220000 -5.5432870145 5.4920870457 -0.0511999688
221000 -5.4550812683 5.4038812702 -0.0511999981
222000 -5.4531586166 5.4019585926 -0.0512000240
223000 -5.5285378553 5.4773376582 -0.0512001972
224000 -5.4937173257 5.4425167093 -0.0512006163
225000 -5.4844442616 5.4332441498 -0.0512001118
226000 -5.4579426407 5.4067428622 -0.0511997785
227000 -5.4154344344 5.3642342503 -0.0512001842
228000 -5.6163048716 5.5651049658 -0.0511999058
229000 -5.6331526702 5.5819529959 -0.0511996744
230000 -5.6058339672 5.5546342579 -0.0511997093
231000 -5.5069811983 5.4557810078 -0.0512001906
232000 -5.5384719317 5.4872717578 -0.0512001739
233000 -5.4810447943 5.4298445773 -0.0512002170
234000 -5.5436258321 5.4924256806 -0.0512001514
235000 -5.4580047375 5.4068043609 -0.0512003766
236000 -5.4433683197 5.3921682987 -0.0512000210
237000 -5.4350564448 5.3838568248 -0.0511996200
238000 -5.4453769913 5.3941771986 -0.0511997927
239000 -5.4449585100 5.3937588858 -0.0511996242
240000 -5.3897931910 5.3385933817 -0.0511998093
241000 -5.5639156946 5.5127156817 -0.0512000129
242000 -5.6382891586 5.5870890717 -0.0512000868
243000 -5.5249094331 5.4737093901 -0.0512000429
244000 -5.6381078456 5.5869076403 -0.0512002052
245000 -5.7507887960 5.6995889754 -0.0511998206
246000 -5.5828916285 5.5316915147 -0.0512001138
247000 -5.5917609371 5.5405606518 -0.0512002853
248000 -5.4975854014 5.4463853447 -0.0512000567
249000 -5.6683855890 5.6171855262 -0.0512000629
250000 -5.5791435420 5.5279436999 -0.0511998421
251000 -5.6035728273 5.5523729180 -0.0511999093
252000 -5.6360686473 5.5848688076 -0.0511998397
253000 -5.8060215239 5.7548211397 -0.0512003842
254000 -5.6418821309 5.5906819298 -0.0512002010
255000 -5.5759640397 5.5247636148 -0.0512004249
256000 -5.5391968396 5.4879968163 -0.0512000233
257000 -5.5097758564 5.4585759211 -0.0511999353
258000 -5.5768202802 5.5256205699 -0.0511997102
259000 -5.5332701646 5.4820701694 -0.0511999952
260000 -5.6303844505 5.5791846509 -0.0511997996
261000 -5.5481151915 5.4969153792 -0.0511998123
262000 -5.6084283330 5.5572282649 -0.0512000681
263000 -5.5286454149 5.4774457056 -0.0511997094
264000 -5.5220636143 5.4708635383 -0.0512000760
265000 -5.4161361355 5.3649359781 -0.0512001574
266000 -5.5947438088 5.5435435951 -0.0512002137
267000 -5.4968600392 5.4456600165 -0.0512000227
268000 -5.6461853369 5.5949854273 -0.0511999095
269000 -5.5102845826 5.4590844074 -0.0512001752
270000 -5.5338415462 5.4826415749 -0.0511999712
271000 -5.5444750866 5.4932749509 -0.0512001357
272000 -5.6184224458 5.5672224999 -0.0511999460
273000 -5.4670213687 5.4158219364 -0.0511994322
274000 -5.5928625994 5.5416626746 -0.0511999248
275000 -5.6227448490 5.5715449352 -0.0511999137
276000 -5.6372548460 5.5860557877 -0.0511990583
277000 -5.6316031110 5.5804036472 -0.0511994639
278000 -5.4833351220 5.4321348991 -0.0512002229
279000 -5.5150811764 5.4638810059 -0.0512001705
280000 -5.4473069592 5.3961068789 -0.0512000803
281000 -5.4757579532 5.4245578618 -0.0512000915
282000 -5.4818360220 5.4306355517 -0.0512004703
283000 -5.5497144235 5.4985144257 -0.0511999978
284000 -5.5452835099 5.4940832916 -0.0512002183
285000 -5.6647528494 5.6135527433 -0.0512001060
286000 -5.6228912859 5.5716913270 -0.0511999589
287000 -5.5425738336 5.4913735515 -0.0512002821
288000 -5.3557913557 5.3045913294 -0.0512000263
289000 -5.4747464003 5.4235466376 -0.0511997626
