z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3,CAT_number_density_per_nm3,ANO_number_density_per_nm3
7.951103,0.0000000000e+00,1.1849283257e+00,4.7397133030e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
8.118495,7.8995221716e-01,1.7773924886e+00,1.5799044343e+00,5.7271535744e+00,0.0000000000e+00,0.0000000000e+00
8.285887,0.0000000000e+00,7.8995221716e-01,2.9623208144e+00,7.5045460630e+00,0.0000000000e+00,0.0000000000e+00
8.453278,5.9246416287e-01,1.3824163800e+00,2.1723685972e+00,7.1095699545e+00,0.0000000000e+00,0.0000000000e+00
8.620670,0.0000000000e+00,7.8995221716e-01,2.1723685972e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
8.788062,1.9748805429e-01,9.8744027145e-01,1.5799044343e+00,6.3196177373e+00,0.0000000000e+00,0.0000000000e+00
8.955453,0.0000000000e+00,7.8995221716e-01,3.7522730315e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
9.122845,3.9497610858e-01,7.8995221716e-01,2.9623208144e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
9.290237,0.0000000000e+00,0.0000000000e+00,2.7648327601e+00,7.3070580087e+00,0.0000000000e+00,0.0000000000e+00
9.457628,1.9748805429e-01,5.9246416287e-01,1.9748805429e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
9.625020,1.9748805429e-01,0.0000000000e+00,1.7773924886e+00,5.1346894116e+00,0.0000000000e+00,0.0000000000e+00
9.792412,9.8744027145e-01,1.9748805429e-01,1.3824163800e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
9.959803,7.8995221716e-01,3.9497610858e-01,1.5799044343e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
10.127195,7.8995221716e-01,3.9497610858e-01,1.1849283257e+00,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
10.294586,9.8744027145e-01,5.9246416287e-01,1.3824163800e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
10.461978,1.1849283257e+00,3.9497610858e-01,1.5799044343e+00,3.1598088686e+00,0.0000000000e+00,0.0000000000e+00
10.629370,9.8744027145e-01,3.9497610858e-01,3.5547849772e+00,2.3698566515e+00,0.0000000000e+00,0.0000000000e+00
10.796761,9.8744027145e-01,7.8995221716e-01,1.5799044343e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
10.964153,1.1849283257e+00,5.9246416287e-01,2.5673447058e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
11.131545,1.3824163800e+00,7.8995221716e-01,2.3698566515e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
11.298936,5.9246416287e-01,5.9246416287e-01,1.7773924886e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
11.466328,7.8995221716e-01,0.0000000000e+00,2.5673447058e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
11.633720,7.8995221716e-01,9.8744027145e-01,2.9623208144e+00,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
11.801111,5.9246416287e-01,7.8995221716e-01,3.7522730315e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
11.968503,5.9246416287e-01,1.1849283257e+00,1.9748805429e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
12.135895,1.1849283257e+00,1.9748805429e-01,4.3447371944e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
12.303286,5.9246416287e-01,7.8995221716e-01,3.7522730315e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
12.470678,5.9246416287e-01,1.1849283257e+00,4.9372013573e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
12.638070,5.9246416287e-01,3.9497610858e-01,3.9497610858e+00,5.1346894116e+00,0.0000000000e+00,0.0000000000e+00
12.805461,1.9748805429e-01,1.1849283257e+00,3.1598088686e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
12.972853,9.8744027145e-01,5.9246416287e-01,1.5799044343e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
13.140245,3.9497610858e-01,3.9497610858e-01,1.7773924886e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
