#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-96195.7201392428,27382.1484375,-68813.5717017428,279.698966300703,175.65261156,0.7410214396921141,0
2000,-94365.77352974573,29066.0078125,-65299.765717245726,296.8989945475094,175.65261156,0.7410214396921141,99.5
3000,-94030.85174629846,29341.53125,-64689.32049629846,299.7133690600231,175.65261156,0.7410214396921141,99.9
4000,-94243.6752173678,29047.8671875,-65195.808029867796,296.71369447610965,175.65261156,0.7410214396921141,100
5000,-94341.45805428186,29422.09765625,-64919.36039803186,300.5363264184686,175.65261156,0.7410214396921141,101
6000,-94579.40461800256,28709.322265625,-65870.08235237756,293.2555777797181,175.65261156,0.7410214396921141,102
7000,-94262.54195473352,29311.421875,-64951.12007973352,299.4058124385008,175.65261156,0.7410214396921141,102
8000,-94410.43966744104,29360.466796875,-65049.97287056604,299.90678897735955,175.65261156,0.7410214396921141,101
9000,-94143.60130379358,29322.466796875,-64821.13450691858,299.51863241091314,175.65261156,0.7410214396921141,101
10000,-94007.5880133883,29320.22265625,-64687.365357138304,299.49570930776514,175.65261156,0.7410214396921141,102
11000,-94354.25196907678,29511.33984375,-64842.91212532678,301.4479038153678,175.65261156,0.7410214396921141,102
12000,-94518.46362373987,29386.28515625,-65132.178467489866,300.170514391209,175.65261156,0.7410214396921141,102
13000,-94524.43956062951,29114.953125,-65409.486435629515,297.39895361181595,175.65261156,0.7410214396921141,102
14000,-94745.87399742761,29416.46875,-65329.40524742761,300.4788291310252,175.65261156,0.7410214396921141,102
15000,-94392.53479073205,28993.24609375,-65399.288696982054,296.1557593128057,175.65261156,0.7410214396921141,102
16000,-94228.31753609338,29438.1171875,-64790.20034859338,300.69996026704973,175.65261156,0.7410214396921141,102
17000,-94682.32730171838,29039.349609375,-65642.97769234338,296.62669042665067,175.65261156,0.7410214396921141,102
18000,-94710.20491097131,28873.1484375,-65837.05647347131,294.92900421048296,175.65261156,0.7410214396921141,102
19000,-94383.45741341272,29362.296875,-65021.16053841272,299.92548257844714,175.65261156,0.7410214396921141,102
20000,-94172.4709632174,29491.203125,-64681.267838217405,301.24221435195994,175.65261156,0.7410214396921141,102
21000,-94571.84061501184,28726.42578125,-65845.41483376184,293.43028414548553,175.65261156,0.7410214396921141,102
22000,-93983.47296211877,29620.41015625,-64363.06280586877,302.56201849961093,175.65261156,0.7410214396921141,102
23000,-94557.96041176477,29465.90625,-65092.05416176477,300.9838157166488,175.65261156,0.7410214396921141,102
24000,-94068.68966744104,29011.13671875,-65057.55294869104,296.33850572258416,175.65261156,0.7410214396921141,102
25000,-94410.1847083346,29159.58984375,-65250.59486458459,297.85490191411685,175.65261156,0.7410214396921141,103
26000,-95089.40385506311,29161.404296875,-65927.99955818811,297.8734359113531,175.65261156,0.7410214396921141,103
27000,-94138.5164420382,29096.234375,-65042.282067038206,297.2077481979167,175.65261156,0.7410214396921141,103
28000,-94341.14726326623,29809.23828125,-64531.90898201623,304.490831042993,175.65261156,0.7410214396921141,103
29000,-94919.58573601404,29016.3515625,-65903.23417351404,296.3917735079671,175.65261156,0.7410214396921141,103
30000,-94664.91616890588,29307.072265625,-65357.84390328088,299.3613827163854,175.65261156,0.7410214396921141,103
31000,-94986.225983359,28984.328125,-66001.897858359,296.0646654146563,175.65261156,0.7410214396921141,103
32000,-94837.37126228967,29223.55859375,-65613.81266853967,298.5083200814819,175.65261156,0.7410214396921141,103
33000,-94725.13375923791,29375.607421875,-65349.52633736291,300.06144510930307,175.65261156,0.7410214396921141,103
34000,-94408.8410956637,29417.578125,-64991.262970663694,300.49016100446994,175.65261156,0.7410214396921141,103
35000,-94850.7664496676,29690.8671875,-65159.8992621676,303.28171216624276,175.65261156,0.7410214396921141,103
36000,-94664.18596718469,29695.79296875,-64968.39299843469,303.3320272803761,175.65261156,0.7410214396921141,103
37000,-94085.07191536584,29140.724609375,-64944.34730599084,297.6622002141114,175.65261156,0.7410214396921141,103
38000,-94198.13327095666,28952.23046875,-65245.90280220666,295.73679920305165,175.65261156,0.7410214396921141,103
39000,-95146.43158028284,29103.7734375,-66042.65814278284,297.28475705618587,175.65261156,0.7410214396921141,103
40000,-94761.14890740075,28737.9296875,-66023.21921990075,293.54779248103085,175.65261156,0.7410214396921141,103
41000,-95435.1964194552,29291.56640625,-66143.6300132052,299.20299584441693,175.65261156,0.7410214396921141,103
42000,-94694.91303322473,29225.83984375,-65469.07318947473,298.5316222437768,175.65261156,0.7410214396921141,103
43000,-94880.12580940881,29642.548828125,-65237.57698128381,302.78815720647106,175.65261156,0.7410214396921141,103
44000,-94993.69386360803,29232.14453125,-65761.54933235803,298.5960223977904,175.65261156,0.7410214396921141,103
45000,-94905.14399788537,28975.7265625,-65929.41743538537,295.97680349449644,175.65261156,0.7410214396921141,103
46000,-94934.24083016076,29412.904296875,-65521.336533285765,300.44241950243946,175.65261156,0.7410214396921141,103
47000,-94813.90696022668,29097.88671875,-65716.02024147668,297.22462630519544,175.65261156,0.7410214396921141,103
48000,-94832.05491326013,29399.423828125,-65432.63108513513,300.30472127970023,175.65261156,0.7410214396921141,103
49000,-95073.9200598971,29396.724609375,-65677.1954505221,300.2771497143821,175.65261156,0.7410214396921141,103
50000,-94679.40265724817,29276.166015625,-65403.23664162317,299.04568629844505,175.65261156,0.7410214396921141,103
51000,-95192.09195015588,29205.37109375,-65986.72085640588,298.3225411985281,175.65261156,0.7410214396921141,103
52000,-94982.3617331759,29236.82421875,-65745.5375144259,298.6438237512652,175.65261156,0.7410214396921141,103
53000,-95048.05444405237,29247.7421875,-65800.31225655237,298.7553469423854,175.65261156,0.7410214396921141,103
