z_angstrom,rho_Li_1_per_nm3,rho_PF6_1_per_nm3,rho_EC_1_per_nm3,rho_DMC_1_per_nm3,rho_Li_std_1_per_nm3,rho_PF6_std_1_per_nm3,rho_EC_std_1_per_nm3,rho_DMC_std_1_per_nm3,rho_charge_e_per_nm3,rho_charge_std_e_per_nm3,z_cathode_angstrom,z_anode_angstrom
16.125,0.0,0.04407713498622588,0.2644628099173553,0.7640036730945821,0.0,0.09855947008263533,0.3767384802191539,0.857649887835226,-0.04407713498622588,0.09855947008263533,14.87811279296875,84.29938507080078
16.875,0.0,0.29384756657483924,0.8227731864095499,1.1019283746556472,0.0,0.2797345493430269,0.7335161603741628,1.11773179465219,-0.29384756657483924,0.2797345493430269,14.87811279296875,84.29938507080078
17.625,0.0,0.17630853994490353,1.146005509641873,0.9843893480257114,0.0,0.13345015334864974,0.7574059970634052,0.7338839298434335,-0.17630853994490353,0.13345015334864974,14.87811279296875,84.29938507080078
18.375,0.04407713498622588,0.08815426997245177,0.9256198347107436,1.146005509641873,0.09855947008263533,0.09578258813888187,0.6026562145673074,0.6137476165055771,-0.04407713498622588,0.16912197514374783,14.87811279296875,84.29938507080078
19.125,0.19100091827364551,0.17630853994490353,0.778696051423324,1.616161616161616,0.29200524392068744,0.04023673517026013,0.439545279754684,0.6930380996919451,0.014692378328741961,0.31767490630581674,14.87811279296875,84.29938507080078
19.875,0.36730945821854905,0.39669421487603296,0.8962350780532596,1.939393939393939,0.34846034822792055,0.3469081786040064,0.26179657933818856,0.9095638361377404,-0.029384756657483923,0.235765752593296,14.87811279296875,84.29938507080078
20.625,0.29384756657483924,0.47015610651974277,0.9843893480257114,2.262626262626262,0.24912139515611634,0.39423788033054136,0.2523498848458059,1.234072321882605,-0.17630853994490353,0.4175066222481636,14.87811279296875,84.29938507080078
21.375,0.27915518824609725,0.38200183654729103,1.6014692378328739,2.5711662075298434,0.12071020551078039,0.22879576128407617,0.4686615363154918,0.6712825301192676,-0.10284664830119374,0.2873477644166456,14.87811279296875,84.29938507080078
22.125,0.22038567493112943,0.4260789715335169,1.8659320477502293,2.32139577594123,0.17228340715604878,0.251278330600361,0.4207256878097734,0.3908006928417377,-0.20569329660238747,0.29107970991601756,14.87811279296875,84.29938507080078
22.875,0.2644628099173553,0.6170798898071624,1.6455463728190998,2.4536271808999075,0.11141047484373258,0.24142041102156078,0.30555201973311913,0.22997209685948247,-0.35261707988980706,0.3218938813620811,14.87811279296875,84.29938507080078
23.625,0.41138659320477494,0.38200183654729103,1.6749311294765836,2.8650137741046824,0.2826135399327286,0.27190825378617806,0.46286821677203627,0.6631944934900932,0.029384756657483923,0.5312671362869287,14.87811279296875,84.29938507080078
24.375,0.6023875114784204,0.2644628099173553,1.6455463728190998,3.232323232323232,0.33824395028749565,0.26282525355369424,0.3350377741338146,0.8707636063272505,0.33792470156106513,0.2523498848458059,14.87811279296875,84.29938507080078
25.125,0.6023875114784204,0.33792470156106513,1.3370064279155185,2.9237832874196505,0.27190825378617806,0.3227310580200374,0.38663573530037143,0.3687757692712178,0.2644628099173553,0.34299702567283746,14.87811279296875,84.29938507080078
25.875,0.6023875114784204,0.45546372819100084,1.2929292929292926,3.3351698806244254,0.19711894016527068,0.3090642272611589,0.5657042661723696,0.8417719896055078,0.14692378328741962,0.17994415006671644,14.87811279296875,84.29938507080078
26.625,0.47015610651974277,0.45546372819100084,1.2929292929292926,3.6584022038567485,0.16094694068104054,0.403706348254445,0.4944372795728584,0.33423142453119786,0.014692378328741961,0.28640718001275184,14.87811279296875,84.29938507080078
27.375,0.39669421487603296,0.5289256198347106,1.6014692378328739,4.143250688705233,0.16912197514374783,0.36877576927121775,0.46866153631549173,0.31425894782306585,-0.13223140495867766,0.41361067431432125,14.87811279296875,84.29938507080078
28.125,0.5436179981634526,0.4260789715335169,1.3076216712580346,3.2910927456381995,0.24694562077460583,0.33423142453119775,0.24585051284747853,0.8219857178739753,0.11753902662993569,0.33098638240055267,14.87811279296875,84.29938507080078
28.875,0.41138659320477494,0.47015610651974277,1.6308539944903577,3.1294765840220378,0.21164165716639752,0.20516789779642153,0.5531636539068268,0.4043741838610948,-0.058769513314967846,0.13141262677684712,14.87811279296875,84.29938507080078
29.625,0.5289256198347106,0.5730027548209365,1.7777777777777775,3.6290174471992644,0.38313035255552746,0.24585051284747853,0.7223960194785393,0.43023839748308756,-0.04407713498622588,0.40102388434031017,14.87811279296875,84.29938507080078
30.375,0.5876951331496785,0.6023875114784204,1.7777777777777775,3.085399449035812,0.4760874709574185,0.4168598261630444,0.34220943100391893,0.5142332415059687,-0.014692378328741961,0.7884757606610828,14.87811279296875,84.29938507080078
31.125,0.35261707988980706,0.38200183654729103,1.880624426078971,3.393939393939393,0.16751888706690732,0.29107970991601756,0.4889494594613402,0.5652270798654575,-0.029384756657483923,0.3055520197331191,14.87811279296875,84.29938507080078
31.875,0.36730945821854905,0.49954086317722673,1.6014692378328739,3.0119375573921023,0.08997207503335825,0.1207102055107804,0.1413067699663643,0.9027148376451427,-0.13223140495867766,0.06146262821186963,14.87811279296875,84.29938507080078
32.625,0.38200183654729103,0.3085399449035812,1.542699724517906,3.834710743801652,0.2669003066972995,0.24585051284747855,0.708440827253844,0.3500056345145007,0.07346189164370981,0.10389080348011714,14.87811279296875,84.29938507080078
33.375,0.4260789715335169,0.35261707988980706,1.7777777777777775,3.7465564738292003,0.21668145019287602,0.3422094310039189,0.7335161603741627,0.40570655710513354,0.07346189164370981,0.2648706171139753,14.87811279296875,84.29938507080078
34.125,0.48484848484848475,0.41138659320477494,1.4839302112029382,3.438016528925619,0.296589593949478,0.3185231719181458,0.5383308271239305,0.5628350797980666,0.07346189164370981,0.3159715433257163,14.87811279296875,84.29938507080078
34.875,0.41138659320477494,0.3085399449035812,2.1157024793388426,3.6877869605142326,0.2873477644166456,0.08047347034052026,0.38313035255552746,0.5652270798654574,0.10284664830119374,0.33098638240055267,14.87811279296875,84.29938507080078
35.625,0.4260789715335169,0.33792470156106513,1.998163452708907,3.3057851239669414,0.19711894016527065,0.13345015334864976,0.3422094310039189,0.7563364658208998,0.08815426997245177,0.22879576128407617,14.87811279296875,84.29938507080078
36.375,0.38200183654729103,0.4260789715335169,1.4839302112029382,3.6290174471992644,0.13141262677684715,0.24030012464714232,0.3382439502874957,0.5184140683747246,-0.04407713498622588,0.2523498848458059,14.87811279296875,84.29938507080078
37.125,0.3085399449035812,0.5142332415059687,1.9687786960514229,3.4233241505968772,0.3002066738909465,0.18729180949835753,0.3935528443997464,0.44865914371650956,-0.20569329660238747,0.3901096212261304,14.87811279296875,84.29938507080078
37.875,0.23507805325987138,0.36730945821854905,2.0863177226813585,3.3645546372819095,0.15926158595907286,0.21417637813940496,0.3055520197331191,0.7371855987835945,-0.13223140495867766,0.1592615859590729,14.87811279296875,84.29938507080078
38.625,0.2644628099173553,0.20569329660238747,1.7924701561065193,3.100091827364554,0.235765752593296,0.09578258813888187,0.3803027836340065,0.5770383658154042,0.058769513314967846,0.29567841024790603,14.87811279296875,84.29938507080078
39.375,0.33792470156106513,0.23507805325987138,1.7777777777777775,3.482093663911845,0.25764081420385937,0.09578258813888187,0.3342314245311977,0.2523498848458059,0.10284664830119374,0.2777986468494256,14.87811279296875,84.29938507080078
40.125,0.36730945821854905,0.38200183654729103,1.8512396694214872,3.3645546372819095,0.18729180949835753,0.12071020551078038,0.572343101730981,1.0224143058340087,-0.014692378328741961,0.3002066738909465,14.87811279296875,84.29938507080078
40.875,0.44077134986225885,0.41138659320477494,1.57208448117539,3.511478420569329,0.22038567493112945,0.15233382077743043,0.19848310135693364,0.4070345690268522,0.029384756657483923,0.19156517627776373,14.87811279296875,84.29938507080078
41.625,0.47015610651974277,0.47015610651974277,1.3370064279155185,3.452708907254361,0.22402866015760373,0.21164165716639752,0.30466764155486087,0.6812575570612087,0.0,0.2264247567665372,14.87811279296875,84.29938507080078
42.375,0.35261707988980706,0.38200183654729103,1.49862258953168,3.5702479338842967,0.09578258813888187,0.3002066738909465,0.8592215400382556,0.6980812646144116,-0.029384756657483923,0.2777986468494256,14.87811279296875,84.29938507080078
43.125,0.36730945821854905,0.27915518824609725,1.5280073461891641,3.6730945821854903,0.13743461475753688,0.26179657933818856,0.432739804592048,0.7290884569799525,0.08815426997245177,0.37959260041179244,14.87811279296875,84.29938507080078
43.875,0.45546372819100084,0.16161616161616157,1.6014692378328739,3.3792470156106513,0.13141262677684712,0.12071020551078038,0.31767490630581674,0.23804373547870927,0.29384756657483924,0.17994415006671646,14.87811279296875,84.29938507080078
44.625,0.35261707988980706,0.35261707988980706,1.4398530762167123,3.555555555555555,0.1207102055107804,0.12071020551078039,0.33098638240055267,0.4749525766830372,0.0,0.21417637813940493,14.87811279296875,84.29938507080078
45.375,0.35261707988980706,0.4260789715335169,1.6455463728190998,3.4233241505968772,0.27190825378617806,0.31767490630581674,0.1984831013569336,0.1769196632329447,-0.07346189164370981,0.10389080348011714,14.87811279296875,84.29938507080078
