# step Q_left_e Q_right_e Q_total_e
1000 -4.0252249291 3.9740249971 -0.0511999320
2000 -4.2842220110 4.2330221982 -0.0511998128
3000 -4.2894432936 4.2382433166 -0.0511999770
4000 -4.4840347243 4.4328344149 -0.0512003095
5000 -4.5756413445 4.5244412472 -0.0512000974
6000 -4.7559808705 4.7047803551 -0.0512005154
7000 -4.8154808552 4.7642801491 -0.0512007061
8000 -4.7074674374 4.6562674451 -0.0511999923
9000 -4.7520887786 4.7008888751 -0.0511999035
10000 -4.7551359650 4.7039358860 -0.0512000790
11000 -4.8410164367 4.7898166747 -0.0511997621
12000 -4.8220626776 4.7708630291 -0.0511996486
13000 -4.8046080815 4.7534079920 -0.0512000895
14000 -5.0046348552 4.9534347892 -0.0512000660
15000 -4.9369235492 4.8857230750 -0.0512004742
16000 -5.0919266231 5.0407264277 -0.0512001954
17000 -5.1116743768 5.0604743941 -0.0511999827
18000 -5.2368168053 5.1856170684 -0.0511997369
19000 -5.2472429960 5.1960428869 -0.0512001090
20000 -5.3153191848 5.2641188742 -0.0512003106
21000 -5.3643430882 5.3131428295 -0.0512002587
22000 -5.2767219056 5.2255215549 -0.0512003507
23000 -5.4066458914 5.3554456029 -0.0512002885
24000 -5.4965909172 5.4453907769 -0.0512001403
25000 -5.4559691605 5.4047691689 -0.0511999916
26000 -5.5364117277 5.4852118646 -0.0511998631
27000 -5.3861923452 5.3349922972 -0.0512000480
28000 -5.5514382512 5.5002383781 -0.0511998731
29000 -5.5492777150 5.4980776642 -0.0512000509
30000 -5.5211541781 5.4699542214 -0.0511999567
31000 -5.5330794239 5.4818796772 -0.0511997468
32000 -5.6454292493 5.5942294218 -0.0511998274
33000 -5.6320839206 5.5808844059 -0.0511995147
34000 -5.6236952005 5.5724948770 -0.0512003235
35000 -5.7401390585 5.6889391926 -0.0511998659
36000 -5.8120201703 5.7608203932 -0.0511997771
37000 -5.7326076133 5.6814075494 -0.0512000640
38000 -5.8151554796 5.7639550115 -0.0512004681
39000 -5.6788022610 5.6276024955 -0.0511997655
40000 -5.6368366041 5.5856364809 -0.0512001232
41000 -5.9197374372 5.8685371208 -0.0512003164
42000 -5.7380604493 5.6868602552 -0.0512001941
43000 -5.6891064962 5.6379064911 -0.0512000051
44000 -5.7554717028 5.7042713775 -0.0512003253
45000 -5.5982139949 5.5470136267 -0.0512003682
46000 -5.6529735289 5.6017734931 -0.0512000358
47000 -5.6706347844 5.6194349566 -0.0511998279
48000 -5.6416127539 5.5904128989 -0.0511998549
49000 -5.7652563597 5.7140564328 -0.0511999269
50000 -5.7806551625 5.7294544467 -0.0512007158
51000 -5.7710772471 5.7198774961 -0.0511997510
52000 -5.7152043264 5.6640044628 -0.0511998636
53000 -5.9083434979 5.8571432545 -0.0512002434
54000 -5.8629770321 5.8117768343 -0.0512001977
55000 -5.7506445578 5.6994449791 -0.0511995787
56000 -5.8406087654 5.7894088470 -0.0511999184
57000 -5.9211315264 5.8699315272 -0.0511999993
58000 -5.7177155150 5.6665155343 -0.0511999807
59000 -5.7919661787 5.7407662346 -0.0511999440
60000 -5.7235525728 5.6723525812 -0.0511999917
61000 -5.8071390558 5.7559388614 -0.0512001944
62000 -5.8170960777 5.7658959829 -0.0512000949
63000 -5.8855110155 5.8343110232 -0.0511999923
64000 -5.9527891223 5.9015890779 -0.0512000444
65000 -5.9172250204 5.8660249749 -0.0512000455
66000 -5.9800540635 5.9288538042 -0.0512002592
67000 -5.8316452549 5.7804449397 -0.0512003151
68000 -6.0268617573 5.9756617339 -0.0512000234
69000 -5.9134186883 5.8622186328 -0.0512000556
70000 -5.9837427471 5.9325426919 -0.0512000552
71000 -5.9394962525 5.8882965054 -0.0511997471
72000 -5.9644713949 5.9132712311 -0.0512001638
73000 -6.1558095198 6.1046097269 -0.0511997929
74000 -6.2357333426 6.1845333909 -0.0511999517
75000 -6.2353781092 6.1841781000 -0.0512000092
76000 -6.0843371034 6.0331370418 -0.0512000616
77000 -6.2662740454 6.2150741345 -0.0511999109
78000 -6.1746200281 6.1234202227 -0.0511998055
79000 -6.1444635555 6.0932632385 -0.0512003170
80000 -6.1470745495 6.0958743379 -0.0512002116
81000 -6.1881287089 6.1369288398 -0.0511998690
82000 -6.1048598352 6.0536589734 -0.0512008619
83000 -6.0889350406 6.0377351155 -0.0511999251
84000 -6.1561830679 6.1049830914 -0.0511999766
85000 -6.2646234951 6.2134232941 -0.0512002009
86000 -6.2738392085 6.2226389318 -0.0512002767
87000 -6.2641390320 6.2129390545 -0.0511999775
88000 -6.1559143106 6.1047144041 -0.0511999065
89000 -6.3276721387 6.2764715096 -0.0512006291
90000 -6.2714326151 6.2202325785 -0.0512000367
91000 -6.2716497127 6.2204494753 -0.0512002374
92000 -6.4299271640 6.3787270389 -0.0512001251
93000 -6.2959572442 6.2447571004 -0.0512001439
