#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
101000,-95263.7864223977,29041.3203125,-66222.4661098977,296.64682046240034,175.46181444000007,0.7418272261648158,0
102000,-95648.06224789818,28710.29296875,-66937.76927914818,293.2654931689823,175.46181444000007,0.7418272261648158,104
103000,-94765.58870663842,29002.03125,-65763.55745663842,296.24549657821876,175.46181444000007,0.7418272261648158,105
104000,-94587.93922772606,29255.458984375,-65332.48024335106,298.8341712944635,175.46181444000007,0.7418272261648158,105
105000,-94951.87886777123,29416.25,-65535.62886777123,300.4765946771065,175.46181444000007,0.7418272261648158,105
106000,-94709.88235440453,29314.53125,-65395.35110440453,299.4375736049164,175.46181444000007,0.7418272261648158,105
107000,-94583.47982754906,29253.2421875,-65330.23764004906,298.81152749805534,175.46181444000007,0.7418272261648158,105
108000,-94414.6383263131,29159.8515625,-65254.7867638131,297.8575752786267,175.46181444000007,0.7418272261648158,104
109000,-94329.62306943139,29311.671875,-65017.951194431385,299.4083661001221,175.46181444000007,0.7418272261648158,104
110000,-94858.97957577904,29029.703125,-65829.27645077904,296.5281549989328,175.46181444000007,0.7418272261648158,104
111000,-94550.64764371117,29015.78515625,-65534.86248746117,296.3859878683562,175.46181444000007,0.7418272261648158,104
112000,-95527.66248288353,29266.240234375,-66261.42224850853,298.94429795188455,175.46181444000007,0.7418272261648158,104
113000,-94553.80128445824,29149.1953125,-65404.60597195824,297.74872545201634,175.46181444000007,0.7418272261648158,104
114000,-95174.31039777001,29151.287109375,-66023.02328839501,297.7700924176138,175.46181444000007,0.7418272261648158,104
115000,-94575.31240811547,29249.603515625,-65325.70889249047,298.7743597511757,175.46181444000007,0.7418272261648158,104
116000,-94675.80798306664,29246.40625,-65429.40173306664,298.7417008130963,175.46181444000007,0.7418272261648158,104
117000,-94966.59920468529,29916.5703125,-65050.02889218529,305.58718979877517,175.46181444000007,0.7418272261648158,104
118000,-95145.5671078225,28997.46484375,-66148.1022640725,296.1988523526661,175.46181444000007,0.7418272261648158,104
119000,-95185.21928372582,29459.2265625,-65725.99272122582,300.9155850702031,175.46181444000007,0.7418272261648158,104
120000,-95485.99242367943,28724.64453125,-66761.34789242943,293.41208930643336,175.46181444000007,0.7418272261648158,104
