#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,-85386.73925251141,25405.80078125,-59980.93847126141,259.5112736597959,262.0830602961102,0.4966454182762103,0
2000,-83365.70936116215,29374.423828125,-53991.28553303715,300.0493551175644,250.45219267712784,0.5197093693312981,829
3000,-84143.11358254962,29637.17578125,-54505.93780129962,302.73327343209326,242.85601109787257,0.5359651198891453,815
4000,-84617.9169752383,29276.75390625,-55341.1630689883,299.05169139335146,234.86865244208397,0.5541920973722428,804
5000,-86208.54081287456,29220.9296875,-56987.61112537456,298.4814667334948,229.3557131194443,0.567513009959707,796
6000,-86341.830321616,29425.849609375,-56915.980712241,300.5746512932704,225.58829660767253,0.5769907085660573,787
7000,-86889.67735246371,29472.09375,-57417.58360246371,301.04701884177734,222.84356063544323,0.5840974302004066,785
8000,-87633.42760607597,28980.2890625,-58653.13854357597,296.0234078190863,220.01758784952153,0.5915997551654547,785
9000,-87478.97992697271,29000.4453125,-58478.53461447271,296.2292967873083,218.2757526273762,0.5963207068907657,782
10000,-87681.0525839735,29892.5,-57788.552583973506,305.3413200657938,216.53743902604714,0.6011078346974157,780
11000,-88425.01075781466,29774.140625,-58650.870132814656,304.13232089193207,212.26523581273437,0.6132061644738817,777
12000,-87863.54578697262,29192.875,-58670.67078697262,298.19489801842303,209.8292035971843,0.6203252401117036,773
13000,-88510.94834229365,29616.46484375,-58894.48349854365,302.5217185271489,207.90240441655664,0.6260742941821659,772
14000,-89065.90479295992,28883.83203125,-60182.07276170992,295.0381333438332,204.20411042542588,0.6374129826902059,769
15000,-89615.35358276189,29370.953125,-60244.40045776189,300.0139031120867,200.7957242881802,0.648232683067808,766
16000,-89174.2594117795,29152.234375,-60022.025036779494,297.77976840110097,199.62393080267753,0.6520378122026491,764
17000,-89748.5459009682,29196.1640625,-60552.381838468194,298.228494629129,196.55227747980905,0.6622276412810423,764
18000,-89685.72189466495,29475.189453125,-60210.53244153995,301.0786403548231,195.43069617627117,0.6660281810922338,763
19000,-89584.48186146724,29304.69140625,-60279.79045521724,299.33706307953827,194.06927364642414,0.6707004599863365,762
20000,-89690.58181279883,29364.32421875,-60326.25759404883,299.94619117815785,193.4713774547021,0.6727731658102558,761
21000,-89480.96557218127,29268.728515625,-60212.237056556274,298.9697148652096,191.65228262474247,0.6791588877588813,761
22000,-90299.54474231889,29434.46875,-60865.07599231889,300.66269276776296,189.10896680911952,0.6882928572882138,760
23000,-89684.67336512852,28542.1484375,-61142.52492762852,291.54795622380476,187.9760405849709,0.6924411786673076,762
24000,-90232.91751260846,29658.62109375,-60574.29641885846,302.9523297180504,187.61049666395846,0.6937903444550506,760
25000,-90294.59401472489,29307.732421875,-60986.86159284989,299.3681259791043,187.20292075176684,0.6953008563176619,760
26000,-90338.38529038313,29581.41796875,-60756.96732163313,302.16372708860473,186.78637071408298,0.6968514383906124,761
27000,-90580.93417964489,29154.29296875,-61426.641210894886,297.8007962085143,186.52367156313693,0.697832881012166,761
