z_angstrom,number_density_per_A3,number_density_per_nm3
86.104366,8.5611654018e-02,8.5611654018e+01
86.883591,8.4975293854e-02,8.4975293854e+01
87.662816,8.3575301494e-02,8.3575301494e+01
88.442041,8.7011646378e-02,8.7011646378e+01
89.221266,8.8284366705e-02,8.8284366705e+01
90.000491,8.4296509679e-02,8.4296509679e+01
90.779716,8.4508629734e-02,8.4508629734e+01
91.558941,8.3872269570e-02,8.3872269570e+01
92.338166,8.5526805996e-02,8.5526805996e+01
93.117391,8.7308614454e-02,8.7308614454e+01
93.896616,8.5908622094e-02,8.5908622094e+01
94.675841,8.5738926050e-02,8.5738926050e+01
95.455066,8.3575301494e-02,8.3575301494e+01
96.234291,8.2472277210e-02,8.2472277210e+01
97.013516,8.4720749789e-02,8.4720749789e+01
97.792741,8.8114670661e-02,8.8114670661e+01
98.571966,8.5993470116e-02,8.5993470116e+01
99.351192,8.4890445832e-02,8.4890445832e+01
100.130417,7.9841988534e-02,7.9841988534e+01
100.909642,8.5272261930e-02,8.5272261930e+01
101.688867,9.0278295218e-02,9.0278295218e+01
102.468092,9.2229799720e-02,9.2229799720e+01
103.247317,8.4169237647e-02,8.4169237647e+01
104.026542,7.3987475028e-02,7.3987475028e+01
104.805767,8.3320757428e-02,8.3320757428e+01
105.584992,9.7108560974e-02,9.7108560974e+01
106.364217,9.9484305585e-02,9.9484305585e+01
107.143442,7.5260195355e-02,7.5260195355e+01
107.922667,5.9478463297e-02,5.9478463297e+01
108.701892,7.8399572163e-02,7.8399572163e+01
109.481117,1.0678123546e-01,1.0678123546e+02
110.260342,1.2820536097e-01,1.2820536097e+02
111.039567,3.6654345427e-02,3.6654345427e+01
111.818792,1.6969604364e-04,1.6969604364e-01
112.598017,0.0000000000e+00,0.0000000000e+00
113.377242,0.0000000000e+00,0.0000000000e+00
114.156467,0.0000000000e+00,0.0000000000e+00
114.935692,0.0000000000e+00,0.0000000000e+00
115.714917,0.0000000000e+00,0.0000000000e+00
116.494142,0.0000000000e+00,0.0000000000e+00
117.273367,0.0000000000e+00,0.0000000000e+00
118.052592,0.0000000000e+00,0.0000000000e+00
118.831817,0.0000000000e+00,0.0000000000e+00
119.611042,0.0000000000e+00,0.0000000000e+00
120.390267,0.0000000000e+00,0.0000000000e+00
121.169492,0.0000000000e+00,0.0000000000e+00
121.948717,0.0000000000e+00,0.0000000000e+00
122.727942,0.0000000000e+00,0.0000000000e+00
