z_angstrom,rho_Li_1_per_nm3,rho_PF6_1_per_nm3,rho_EC_1_per_nm3,rho_DMC_1_per_nm3,rho_Li_std_1_per_nm3,rho_PF6_std_1_per_nm3,rho_EC_std_1_per_nm3,rho_DMC_std_1_per_nm3,rho_charge_e_per_nm3,rho_charge_std_e_per_nm3,z_cathode_angstrom,z_anode_angstrom
17.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0
18.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0
19.125,0.0,0.036730945821854905,0.7419651056014691,2.0091827364554633,0.0,0.025972700870029286,0.06441020355096483,0.15561961553215684,-0.036730945821854905,0.025972700870029286,16.0,74.0
19.875,0.018365472910927452,6.4793388429752055,12.150596877869603,10.145087235996325,0.04106644586776472,0.5366050513721468,1.7339866069741856,0.36882149755824006,-6.460973370064278,0.5647793515350653,16.0,74.0
20.625,0.06611570247933883,0.6097337006427914,6.582185491276399,2.7438016528925613,0.1180258513356079,0.23026524178009147,0.47548489564939833,0.4833993425560946,-0.5436179981634526,0.32714263841677654,16.0,74.0
21.375,0.19100091827364551,0.040404040404040394,1.4618916437098253,0.6464646464646463,0.08172119545008992,0.020118367585130064,0.3317497870797627,0.1460026219603437,0.1505968778696051,0.09219394231780445,16.0,74.0
22.125,1.4251606978879703,0.036730945821854905,0.48484848484848475,1.0688705234159777,0.5786727079759919,0.043070851789012196,0.09595849753985769,0.16701476649240998,1.3884297520661155,0.5504435863064421,16.0,74.0
22.875,0.8264462809917353,0.16528925619834708,0.8448117539026628,2.479338842975206,0.12657528697970816,0.13926309355466573,0.189084116455225,0.45303567983632725,0.6611570247933883,0.15420436752751754,16.0,74.0
23.625,0.19834710743801648,0.771349862258953,2.1303948576675844,5.627180899908171,0.13644940768416314,0.25047165651030034,0.405914345368234,0.513839544950995,-0.5730027548209365,0.36045018697071346,16.0,74.0
24.375,0.033057851239669415,1.0798898071625342,2.494031221303948,6.685032139577593,0.03285315669421178,0.23497759561523535,0.6350577648772365,0.7458959960019197,-1.0468319559228647,0.24639867520658837,16.0,74.0
