#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
45000,11070372729.043722,71.81920726373748,11070372800.86293,287.9288398303788
45500,11070372716.554148,71.03439315361408,11070372787.588541,284.7824584538687
46000,11070372699.945763,93.53496038283329,11070372793.480722,374.98899880238133
46500,11070372698.522333,71.12124364775815,11070372769.643578,285.1306489027798
47000,11070372695.66814,61.589942945280775,11070372757.258083,246.91891616586832
47500,11070372701.621157,72.5522470450321,11070372774.173403,290.8676538582558
48000,11070372706.758451,72.30159553163529,11070372779.060047,289.8627722645472
48500,11070372709.563972,70.70990355281656,11070372780.273876,283.48155417137565
49000,11070372714.717949,75.24778513541554,11070372789.965734,301.67427766618204
49500,11070372701.032566,87.90580215842932,11070372788.938368,352.4212615838082
50000,11070372711.966478,60.78847829299473,11070372772.754957,243.70578145873694
50500,11070372709.426907,65.17561252045505,11070372774.60252,261.29414697291037
51000,11070372689.96762,83.75637894279059,11070372773.723999,335.78589817668046
51500,11070372699.709745,65.84669427820327,11070372765.55644,263.98456642059676
52000,11070372681.03421,78.37271432302227,11070372759.406925,314.2023640906892
52500,11070372682.940315,67.53292177266036,11070372750.473236,270.74478481713504
53000,11070372690.183672,58.13672322172814,11070372748.320395,233.07468721147944
53500,11070372695.408607,83.5106427290211,11070372778.91925,334.80072240503586
54000,11070372713.661049,50.27034269606082,11070372763.93139,201.53775016200458
54500,11070372687.698248,78.76103142990354,11070372766.45928,315.75915785562216
55000,11070372697.834133,103.62562423860251,11070372801.459757,415.443262331644
55500,11070372731.434395,78.71004731605738,11070372810.144442,315.55475854088735
56000,11070372729.907871,100.74416719218686,11070372830.652039,403.8912748340818
56500,11070372705.537357,114.43575865638068,11070372819.973116,458.7819398234643
57000,11070372732.791924,80.36988396385603,11070372813.161808,322.2091739614529
57500,11070372724.406113,78.30530578646237,11070372802.711418,313.93211797595444
58000,11070372718.99935,80.00397173566958,11070372799.00332,320.7422031140224
58500,11070372739.26666,67.13999729929746,11070372806.406658,269.1695197582924
59000,11070372694.452084,88.80167737301251,11070372783.253761,356.0128956465524
59500,11070372696.315258,63.64968944880707,11070372759.964947,255.17660159153925
60000,11070372693.498045,72.4417182067335,11070372765.939764,290.42453506884544
60500,11070372707.166733,57.11093456758116,11070372764.277668,228.96221997113392
61000,11070372675.144524,91.16339645810872,11070372766.30792,365.4812128570149
61500,11070372711.294888,56.45289432771375,11070372767.747782,226.32408499240947
62000,11070372706.450108,66.88955751781505,11070372773.339664,268.1654870144499
62500,11070372707.367645,81.89900630307713,11070372789.266651,328.3395454576717
63000,11070372696.402256,69.53291066044737,11070372765.935167,278.7628972702492
63500,11070372696.096523,67.76448352383557,11070372763.861008,271.6731340555237
64000,11070372717.475765,54.53030319519612,11070372772.00607,218.61626621600422
64500,11070372686.802238,51.00213903434739,11070372737.804377,204.47157912925022
65000,11070372672.273653,93.78514610062541,11070372766.0588,375.9920129849452
65500,11070372671.128235,77.57815031064263,11070372748.706385,311.0168945906526
66000,11070372679.027758,79.43560060796023,11070372758.463358,318.4635586450926
66500,11070372667.197052,75.22037129629877,11070372742.417423,301.56437343313746
67000,11070372697.75379,66.32594747346174,11070372764.079737,265.9059301024463
67500,11070372700.046175,80.80170835486963,11070372780.847883,323.94039184385616
68000,11070372705.549812,59.776362749611096,11070372765.326176,239.64813079280034
68500,11070372731.455511,68.93445811698561,11070372800.389969,276.363654044134
69000,11070372706.70489,75.54035231855674,11070372782.245241,302.8472024703357
69500,11070372710.864553,68.92057024724089,11070372779.785124,276.30797648410993
70000,11070372702.525526,59.851313554718715,11070372762.376839,239.9486144542217
70500,11070372698.68743,86.18521650059196,11070372784.872646,345.5232986131136
71000,11070372730.749031,68.64130414289343,11070372799.390335,275.1883767489941
71500,11070372701.341124,68.22204280829712,11070372769.563166,273.50752514598554
72000,11070372707.441612,73.7215516168535,11070372781.163164,295.555487678762
72500,11070372696.170956,53.76654370831521,11070372749.9375,215.5542944768912
73000,11070372689.503633,58.37903704871567,11070372747.882671,234.04614236585297
73500,11070372691.45791,72.86891204911211,11070372764.326822,292.1371887182663
74000,11070372704.287445,61.60368760784114,11070372765.891132,246.97401959704843
74500,11070372701.316883,71.92907410806978,11070372773.245956,288.3693046340108
75000,11070372692.597263,80.66936158418729,11070372773.266624,323.4098032507806
75500,11070372702.530287,93.13192574838016,11070372795.662212,373.3732013140659
76000,11070372716.697258,76.36819469113762,11070372793.065453,306.1660875288177
76500,11070372724.015406,123.64025616291944,11070372847.655663,495.6834928933415
77000,11070372692.667845,98.54875930698108,11070372791.216604,395.08971227964605
77500,11070372732.060987,64.8874456241823,11070372796.948433,260.1388632642412
78000,11070372718.089054,79.14969662484232,11070372797.23875,317.317347132903
78500,11070372708.07956,81.68280835027076,11070372789.762367,327.4727908930238
79000,11070372701.714098,97.63057441813874,11070372799.344673,391.4086369814557
79500,11070372698.238707,89.627924538065,11070372787.86663,359.3253853928271
80000,11070372698.526756,58.03823523784694,11070372756.564991,232.67984115265273
80500,11070372694.942684,49.74453849620748,11070372744.687223,199.42975984841402
81000,11070372678.86337,79.68974961150148,11070372758.55312,319.4824619513482
81500,11070372709.621765,56.783069254052954,11070372766.404835,227.64778219130528
82000,11070372688.375477,83.48938904538822,11070372771.864866,334.71551471890723
82500,11070372699.553144,64.6653489964175,11070372764.218493,259.24846044863045
83000,11070372716.574816,75.0322363382471,11070372791.607052,300.81012561744626
83500,11070372690.99429,60.47974745794594,11070372751.474037,242.4680553052161
84000,11070372711.880398,60.73630932967415,11070372772.616707,243.4966319894468
84500,11070372717.47597,63.2026870737185,11070372780.678656,253.38453397948612
85000,11070372710.99919,78.67060856541202,11070372789.669798,315.396645493552
85500,11070372706.017254,81.4041147441795,11070372787.42137,326.35548634835885
86000,11070372714.467655,84.76640020131178,11070372799.234055,339.8351526901992
86500,11070372718.231499,76.71746097756997,11070372794.94896,307.56632348902593
87000,11070372707.380705,84.53631597823033,11070372791.91702,338.91272697792647
87500,11070372688.740305,85.9954901064401,11070372774.735796,344.76267060516665
88000,11070372713.45309,62.538913928239545,11070372775.992004,250.72341533212372
88500,11070372719.621666,72.79077202553418,11070372792.412437,291.8239192296393
89000,11070372732.302725,88.63985015585637,11070372820.942575,355.3641176293064
89500,11070372691.67792,102.05939972751203,11070372793.73732,409.1641453158275
90000,11070372681.809614,63.97204075319598,11070372745.781654,256.4689332758709
90500,11070372695.937521,71.62271857421611,11070372767.56024,287.1411012494456
91000,11070372726.677532,49.06016790667832,11070372775.7377,196.68606443092565
91500,11070372717.951527,75.80592033680632,11070372793.757446,303.91188550296596
92000,11070372707.044987,93.12098647119372,11070372800.165974,373.32934489307667
92500,11070372711.96829,74.96544623854923,11070372786.933737,300.54235886463954
93000,11070372709.467653,97.1430526075246,11070372806.610706,389.4541237715471
93500,11070372712.027296,85.23626715622086,11070372797.263563,341.71888619765485
94000,11070372718.416113,88.72384001303367,11070372807.139954,355.7008395600537
94500,11070372708.675444,96.58699709200513,11070372805.262442,387.2248535586797
95000,11070372697.248991,90.91674683557304,11070372788.165737,364.4923751579227
95500,11070372696.662682,91.1479426463026,11070372787.810625,365.4192573123379
96000,11070372698.56541,87.67361041892258,11070372786.239021,351.4903866727434
96500,11070372691.773018,78.53869602314819,11070372770.311714,314.86779775629384
97000,11070372701.84415,66.74889543127993,11070372768.593046,267.60156166735646
97500,11070372690.442875,56.63324007057408,11070372747.076115,227.0471052329342
98000,11070372704.94856,63.55649040755035,11070372768.50505,254.80295931888358
98500,11070372697.130806,62.164013208911044,11070372759.294819,249.2204089180954
99000,11070372687.713348,68.27421621380986,11070372755.987564,273.7166924243728
99500,11070372694.375992,75.50199422416554,11070372769.877987,302.6934218587563
100000,11070372703.247194,81.44963996732024,11070372784.696835,326.538000541725
