#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,11070372701.795134,66.13285264268673,11070372767.927986,265.1317977676501
2,11070372702.352016,66.6439065300229,11070372768.995922,267.1806529204388
