#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,105.19449395802161,291.94838941982897
10000,119.21909052044629,343.73458009179404
15000,83.70925398875079,255.86435197001822
20000,154.04221147330225,415.11496361457955
25000,75.82786241220072,328.7603754906995
30000,123.91927609379513,288.03157491290267
35000,94.5262209837444,302.15309944680297
40000,114.74396024121648,337.8019576486991
45000,115.19844599977182,267.8440395183368
50000,117.83914493893855,367.1118740330515
55000,97.63832555099702,273.8472398118221
60000,102.66725618377069,268.96869452127567
65000,129.17209171774698,266.5494891382017
70000,119.14303401512842,330.9589064477346
75000,105.50221725976024,385.24611547169394
80000,129.2680737974065,214.69965099776599
85000,117.60581177686964,350.13517560687177
90000,122.4003150622051,300.44043931195915
95000,101.04081599378833,393.5958131594371
100000,128.81485888642862,250.61859289854183
105000,114.09082966905106,289.0966013424091
110000,112.273990623602,304.219053148688
115000,98.88461010680118,276.18501513989463
120000,108.17504944168013,301.19385253638603
125000,116.00194891782144,342.5445280060236
130000,121.83206203880047,333.19616151066793
135000,123.23965923850903,310.9948344782575
140000,105.39072019217747,296.5856285878119
145000,100.35559301032225,228.10416377583968
150000,108.7659955784572,291.21552575880446
155000,103.7287444826087,333.7970308446284
160000,85.52515245040689,260.86684774325954
165000,117.11120835712882,288.96703605926564
170000,97.32109153656086,304.000554501298
175000,127.36548906990441,364.1815004737609
180000,116.1172824004833,274.01966721676683
185000,93.93502192790766,200.7382139921993
190000,154.66576392907768,311.8744669230071
195000,107.19165147790869,312.4063601435182
200000,88.30690734377663,307.9813374924964
205000,136.74358652374872,310.32813092627265
210000,105.49238538604885,446.98158503015475
215000,73.22625005380962,334.832692624274
220000,100.4850637693113,280.8224032088092
225000,67.79736964407113,237.5019945805164
230000,116.64757604565386,288.48268399645144
235000,82.17088880939548,336.20558190225114
240000,119.33328615855112,234.70310520758974
245000,101.4129152463064,221.40180520733918
250000,109.24954964697753,283.7831156660639
255000,111.3259579539814,378.1432222254604
260000,124.72024581741857,330.5699753490832
265000,90.17009267600463,285.15586140551954
270000,104.36158440296589,321.63323855206846
275000,99.13860002509716,320.4297975645126
280000,114.92851455511294,318.5792067789379
285000,102.09397078440651,397.9048267730595
290000,141.79220163067464,262.65518433836263
295000,87.5742199259223,274.3778071549839
300000,96.47761985260036,291.0147328731846
305000,86.81184780111857,277.1551738854202
310000,93.70337539170066,319.1332475395142
315000,97.58466197613495,413.4128039332849
320000,100.8826304966878,314.12816035668715
325000,111.17917352615586,354.2450856826217
330000,121.24699876600891,420.0931766263315
335000,139.530786363277,195.61586086568235
340000,143.02847071415823,275.303527915559
345000,103.56786825706018,314.7329771232958
350000,116.15091605280833,250.11195019615823
355000,100.02629938230393,335.21126094268544
360000,80.80751937077036,265.6121109360575
365000,90.73224139703564,296.8721635436957
370000,110.46372724756782,338.02271755223234
375000,117.78665635122917,430.7347696322032
380000,113.80960345977667,366.4079225520952
385000,86.25211099561056,297.2776066589026
390000,112.0220863171644,313.0541586255655
395000,92.66253731969903,222.89158325220168
400000,98.64139305634222,296.5708040731711
405000,121.58660989522781,269.1602405055777
410000,99.43405661101627,392.6083824829607
415000,97.84431782087125,264.6964141578577
420000,112.72453195159636,264.5601423474857
425000,116.46137887657972,369.3570114381219
430000,76.36963060746507,214.58229317353755
435000,91.04190803601284,246.73932878395132
440000,126.46891099017648,378.6347291015379
445000,116.96155255984735,257.92978983438724
450000,95.12275264062498,369.6937383544353
455000,104.12256384004718,260.76346318808373
460000,111.19890985241642,343.4203117865777
465000,151.6755462750274,264.7161740784712
470000,81.05087813540314,322.09898697106235
475000,101.1888925017679,357.35757135956794
480000,107.90853831090453,373.7941805533516
485000,134.37522609621453,306.7899418588331
490000,113.47853830853467,300.72308999121213
495000,107.60386758918327,242.07941588662285
500000,99.90270361421528,320.1422786505453
505000,105.11503618418101,328.97272907939066
510000,122.83000180852042,227.50721314294572
515000,124.57822705531373,210.0451052824366
520000,96.33815113141696,227.06226871473578
525000,136.54195674170256,435.2888968693221
530000,110.02523109318395,321.2057193916255
535000,111.2992861180864,244.18989601394222
540000,104.33462337518381,284.3476525533583
545000,93.36993524792922,272.53949604997257
550000,111.23829791666259,262.49045691477136
555000,137.0289225422125,298.7147827263036
560000,135.58206689573467,281.2038172496538
565000,139.6639895691743,346.98562611277345
570000,101.79201262147348,348.3022065988638
575000,125.79624117114577,310.41089344296427
580000,90.63987206026627,284.9240879680862
585000,117.95285173176353,247.07688567515677
590000,112.23364417124026,268.8987002444646
595000,86.07795354202386,251.40202224661428
600000,108.7953569415775,321.375136124207
605000,115.04102596775351,300.21824498496215
610000,112.28174794186793,312.46889014448425
615000,113.80545058338407,314.44468107776817
620000,126.08140255631349,349.82729023070425
625000,106.90759976627032,273.4948325147229
630000,120.19639388618782,385.7536408181311
635000,111.8227885504561,312.6254789830291
640000,113.14842931405678,311.5149074186265
645000,112.33109889266507,339.44013472313253
650000,119.37568283854785,280.56580003575124
655000,134.2476592582167,327.8358477011749
660000,107.27609443030303,347.9078194746706
665000,132.47880398469334,267.7532518145373
670000,108.59105955055361,314.4339282943717
675000,78.4758629626981,312.08776052798413
680000,101.29946685331254,377.0747389412185
685000,126.4364192733849,358.32999699047735
690000,113.88742288831463,276.38225873672656
695000,107.48543428331618,390.26405602461506
700000,104.71936765680573,375.32455576956846
705000,133.41860244940455,301.71383900200584
710000,122.58212762228635,313.948842242581
715000,92.41863879245278,205.49958557144768
720000,116.27999658115476,245.3314023503247
725000,104.77666475247105,361.26648050186503
730000,106.71473997113685,413.8947593026071
735000,102.64593521463638,347.880244655175
740000,107.49246095764431,276.16167612766446
745000,105.38797186473755,229.10229876793935
750000,122.0935690525219,306.16110984701226
755000,89.05277051341875,398.6669893749114
760000,90.78187412774923,261.2437749981573
765000,82.15715449135826,391.5827602060994
770000,100.9490051422789,340.6115194784473
775000,97.15771410535837,227.41166271451527
780000,79.19417589446431,297.99593267243046
785000,95.73495007712165,320.7143628373862
790000,116.56875648665584,369.42698226592177
795000,103.42195632448431,292.1574409007443
800000,100.80976997037578,273.8315426536609
805000,83.49793284073087,326.31883174835104
810000,78.20093074988642,270.6253116451339
815000,102.01636734627579,237.3497910162344
820000,110.19858058923745,343.01155915274416
825000,77.74818286869981,319.86773859510816
830000,144.950785580892,231.55402353387086
835000,80.90091877607284,262.5732180110965
840000,110.09679586073918,333.09380649076303
845000,110.84369799116018,272.5324378517795
850000,126.28741387717344,347.2595107663236
855000,99.13410699820514,329.3981863465772
860000,115.28998163882852,250.46897193224578
865000,143.23436388166584,347.20655190314864
870000,106.5374039983875,346.5592318903384
875000,127.55180877384748,342.4864650046819
880000,88.93936100781536,341.7876935392144
885000,104.21933193751187,262.25593664541566
890000,129.98221811783947,280.2735662740331
895000,112.46180378590248,328.7338826380352
900000,114.15198424962426,199.7327853531309
905000,104.46880159086362,266.96288259532884
910000,138.46586219583202,248.8638577673985
915000,125.64760620771983,315.4310651403162
920000,122.00706971256562,293.34963184237034
925000,95.76156586934883,322.37856945553403
930000,129.16149365063313,316.58127983737415
935000,119.62835830687544,293.7725955665593
940000,107.34720838094569,273.8366621062496
945000,88.33352167031023,291.2929281454163
950000,107.51459641698807,363.06506987785764
955000,132.66722202081894,280.7682948841536
960000,116.9876449155438,328.28160417715435
965000,79.96405476740813,322.82265029571624
970000,121.96591351527951,300.80467103047937
975000,95.71724375430995,247.6428814347465
980000,89.80839365648262,213.22243622305083
985000,128.41644982185176,247.3379934157096
990000,100.39441415591699,290.8359772304672
995000,115.79214085922666,259.43066314993
1000000,109.22721785459879,325.7008833383849
1005000,90.61106805956973,332.43603399107513
1010000,119.95449665796559,322.91264154525715
1015000,136.6996074027697,253.2661508081423
1020000,109.99487995385925,271.03344627953857
1025000,125.7935980102609,263.82595450230474
1030000,108.56327196858433,300.4142124008777
1035000,82.26012322917131,322.65621969105
1040000,93.42141262709993,419.52846123632224
1045000,108.40378312500593,317.3495559708006
1050000,95.8451786143334,289.24796847564085
1055000,110.43846992721086,257.1545245326157
1060000,98.36662382894815,305.28226501579474
1065000,111.14808606859253,308.0062484114082
1070000,103.93225800365212,317.19756430779057
1075000,115.02159876886532,310.359412564042
1080000,112.08371199498464,274.53801391888663
1085000,96.35137350034381,214.5398200812605
1090000,92.22154993750348,337.12627455478247
1095000,85.61484767009836,275.13709359536995
1100000,102.97480463015665,277.55713205946995
1105000,109.108573820971,290.4414369658651
1110000,105.2461488192422,305.37468677640373
1115000,129.419020803985,324.36651144504737
1120000,110.04226090947338,316.25991012008274
1125000,145.15162107005,307.8477640040005
1130000,103.01673134319458,381.42410567527105
1135000,118.23922975748371,326.7704834868961
1140000,73.14478843647822,250.81685788465256
1145000,105.62646914601135,286.3277366754807
1150000,122.08117136069814,320.6560626923394
1155000,141.44120453623282,302.22277047820523
1160000,144.6603843291075,337.8144941551598
1165000,110.40900440489446,245.26149140182613
1170000,115.85014290594512,324.7297890559782
1175000,87.14125757101556,252.60891120916102
1180000,83.16637714605884,237.10399772639508
1185000,120.95318749531265,325.4557683975323
1190000,127.20135698518277,379.57946588998215
1195000,113.59714082056763,278.13274470032894
1200000,134.1615270726527,289.7757132485258
1205000,89.94253472627474,375.4445006264002
1210000,101.27505500809889,236.2131379478201
1215000,101.91641903780652,369.25440380116186
1220000,111.4501497393718,300.978459290482
1225000,98.75360004464329,356.9561674243074
1230000,86.55709878540546,323.8235378912009
1235000,138.58030717192065,286.83771098813924
1240000,98.72222948102439,244.24546197650338
1245000,100.96571702098225,240.024409139666
1250000,118.5432402633403,343.63623170756415
1255000,125.70098635128721,337.40087023216694
1260000,103.34755735853923,278.8313738004766
1265000,90.01309186639463,282.6715664713873
1270000,106.2126480661625,338.0085815006593
1275000,132.74430242544662,303.0195712071761
1280000,91.53030474784578,301.1580345976914
1285000,110.29450341611937,316.9929139847607
